Image,Expected,Predicted,Subset
am50_5p0_1772cQ2R1.png,109.0,114,Test
am50_5p0_1772cQ2R2.png,109.0,96,Test
am50_5p0_1772cQ2R3.png,109.0,111,Test
am50_5p0_1772cQ2R4.png,109.0,88,Test
am50_5p0_1772cQ3R1.png,109.0,113,Test
am50_5p0_1772cQ3R2.png,109.0,117,Test
am50_5p0_1772cQ3R3.png,109.0,102,Test
am50_5p0_1772cQ3R4.png,109.0,120,Test
am50_5p0_1772cQ4R1.png,109.0,124,Test
am50_5p0_1772cQ4R2.png,109.0,113,Test
am50_5p0_1772cQ4R3.png,109.0,137,Test
am50_5p0_1772cQ4R4.png,109.0,129,Test
am50_2p5_1802cQ1R1.png,109.0,89,Test
am50_2p5_1802cQ1R2.png,109.0,103,Test
am50_2p5_1802cQ1R3.png,109.0,98,Test
am50_2p5_1802cQ1R4.png,109.0,91,Test
am50_2p5_1820cQ1R1.png,109.0,130,Test
am50_2p5_1820cQ1R2.png,109.0,118,Test
am50_2p5_1820cQ1R3.png,109.0,126,Test
am50_2p5_1820cQ1R4.png,109.0,122,Test
am50_2p5_1820cQ2R1.png,109.0,120,Test
am50_2p5_1820cQ2R2.png,109.0,113,Test
am50_2p5_1820cQ2R3.png,109.0,109,Test
am50_2p5_1820cQ2R4.png,109.0,125,Test
am50_2p5_1820cQ3R1.png,109.0,122,Test
am50_2p5_1820cQ3R2.png,109.0,111,Test
am50_2p5_1820cQ3R3.png,109.0,122,Test
am50_2p5_1820cQ3R4.png,109.0,126,Test
am50_5p0_1770cQ2R1.png,109.0,108,Test
am50_5p0_1770cQ2R2.png,109.0,114,Test
am50_5p0_1770cQ2R3.png,109.0,109,Test
am50_5p0_1770cQ2R4.png,109.0,112,Test
am50_5p0_1796cQ2R1.png,109.0,128,Test
am50_5p0_1796cQ2R2.png,109.0,134,Test
am50_5p0_1796cQ2R3.png,109.0,124,Test
am50_5p0_1796cQ2R4.png,109.0,117,Test
am50_5p0_1796cQ3R1.png,109.0,110,Test
am50_5p0_1796cQ3R2.png,109.0,118,Test
am50_5p0_1796cQ3R3.png,109.0,115,Test
am50_5p0_1796cQ3R4.png,109.0,121,Test
am50_5p0_1774cQ3R1.png,109.0,127,Test
am50_5p0_1774cQ3R2.png,109.0,119,Test
am50_5p0_1774cQ3R3.png,109.0,128,Test
am50_5p0_1774cQ3R4.png,109.0,115,Test
am50_2p5_1804cQ1R1.png,109.0,108,Test
am50_2p5_1804cQ1R2.png,109.0,102,Test
am50_2p5_1804cQ1R3.png,109.0,121,Test
am50_2p5_1804cQ1R4.png,109.0,115,Test
am50_2p5_1804cQ3R1.png,109.0,109,Test
am50_2p5_1804cQ3R2.png,109.0,135,Test
am50_2p5_1804cQ3R3.png,109.0,132,Test
am50_2p5_1804cQ3R4.png,109.0,122,Test
am50_2p5_1804cQ4R1.png,109.0,129,Test
am50_2p5_1804cQ4R2.png,109.0,137,Test
am50_2p5_1804cQ4R3.png,109.0,124,Test
am50_2p5_1804cQ4R4.png,109.0,141,Test
am50_2p5_1801cQ2R1.png,109.0,102,Test
am50_2p5_1801cQ2R2.png,109.0,114,Test
am50_2p5_1801cQ2R3.png,109.0,114,Test
am50_2p5_1801cQ2R4.png,109.0,106,Test
am50_2p5_1801cQ4R1.png,109.0,123,Test
am50_2p5_1801cQ4R2.png,109.0,127,Test
am50_2p5_1801cQ4R3.png,109.0,125,Test
am50_2p5_1801cQ4R4.png,109.0,113,Test
am50_5p0_1775cQ1R1.png,109.0,114,Test
am50_5p0_1775cQ1R2.png,109.0,126,Test
am50_5p0_1775cQ1R3.png,109.0,112,Test
am50_5p0_1775cQ1R4.png,109.0,113,Test
