Image,Expected,Predicted,Subset
am50_5p0_1771cQ4R1.png,109.0,104,Test
am50_5p0_1771cQ4R2.png,109.0,99,Test
am50_5p0_1771cQ4R3.png,109.0,99,Test
am50_5p0_1771cQ4R4.png,109.0,98,Test
am50_5p0_1772cQ3R1.png,109.0,105,Test
am50_5p0_1772cQ3R2.png,109.0,100,Test
am50_5p0_1772cQ3R3.png,109.0,100,Test
am50_5p0_1772cQ3R4.png,109.0,107,Test
am50_5p0_1772cQ4R1.png,109.0,113,Test
am50_5p0_1772cQ4R2.png,109.0,96,Test
am50_5p0_1772cQ4R3.png,109.0,122,Test
am50_5p0_1772cQ4R4.png,109.0,103,Test
am50_2p5_1802cQ4R1.png,109.0,107,Test
am50_2p5_1802cQ4R2.png,109.0,103,Test
am50_2p5_1802cQ4R3.png,109.0,99,Test
am50_2p5_1802cQ4R4.png,109.0,121,Test
am50_2p5_1820cQ1R1.png,109.0,115,Test
am50_2p5_1820cQ1R2.png,109.0,110,Test
am50_2p5_1820cQ1R3.png,109.0,118,Test
am50_2p5_1820cQ1R4.png,109.0,108,Test
am50_2p5_1820cQ4R1.png,109.0,111,Test
am50_2p5_1820cQ4R2.png,109.0,106,Test
am50_2p5_1820cQ4R3.png,109.0,108,Test
am50_2p5_1820cQ4R4.png,109.0,107,Test
am50_2p5_1816cQ3R1.png,109.0,109,Test
am50_2p5_1816cQ3R2.png,109.0,107,Test
am50_2p5_1816cQ3R3.png,109.0,125,Test
am50_2p5_1816cQ3R4.png,109.0,114,Test
am50_2p5_1816cQ4R1.png,109.0,111,Test
am50_2p5_1816cQ4R2.png,109.0,128,Test
am50_2p5_1816cQ4R3.png,109.0,105,Test
am50_2p5_1816cQ4R4.png,109.0,108,Test
am50_5p0_1770cQ2R1.png,109.0,96,Test
am50_5p0_1770cQ2R2.png,109.0,98,Test
am50_5p0_1770cQ2R3.png,109.0,98,Test
am50_5p0_1770cQ2R4.png,109.0,104,Test
am50_5p0_1770cQ3R1.png,109.0,98,Test
am50_5p0_1770cQ3R2.png,109.0,92,Test
am50_5p0_1770cQ3R3.png,109.0,105,Test
am50_5p0_1770cQ3R4.png,109.0,112,Test
am50_5p0_1796cQ1R1.png,109.0,106,Test
am50_5p0_1796cQ1R2.png,109.0,96,Test
am50_5p0_1796cQ1R3.png,109.0,103,Test
am50_5p0_1796cQ1R4.png,109.0,95,Test
am50_5p0_1796cQ2R1.png,109.0,112,Test
am50_5p0_1796cQ2R2.png,109.0,117,Test
am50_5p0_1796cQ2R3.png,109.0,100,Test
am50_5p0_1796cQ2R4.png,109.0,113,Test
am50_5p0_1774cQ1R1.png,109.0,104,Test
am50_5p0_1774cQ1R2.png,109.0,106,Test
am50_5p0_1774cQ1R3.png,109.0,104,Test
am50_5p0_1774cQ1R4.png,109.0,102,Test
am50_5p0_1774cQ3R1.png,109.0,114,Test
am50_5p0_1774cQ3R2.png,109.0,114,Test
am50_5p0_1774cQ3R3.png,109.0,108,Test
am50_5p0_1774cQ3R4.png,109.0,111,Test
am50_2p5_1824cQ1R1.png,109.0,103,Test
am50_2p5_1824cQ1R2.png,109.0,102,Test
am50_2p5_1824cQ1R3.png,109.0,96,Test
am50_2p5_1824cQ1R4.png,109.0,101,Test
am50_2p5_1804cQ1R1.png,109.0,109,Test
am50_2p5_1804cQ1R2.png,109.0,88,Test
am50_2p5_1804cQ1R3.png,109.0,100,Test
am50_2p5_1804cQ1R4.png,109.0,110,Test
am50_2p5_1804cQ3R1.png,109.0,107,Test
am50_2p5_1804cQ3R2.png,109.0,101,Test
am50_2p5_1804cQ3R3.png,109.0,103,Test
am50_2p5_1804cQ3R4.png,109.0,102,Test
am50_2p5_1801cQ4R1.png,109.0,99,Test
am50_2p5_1801cQ4R2.png,109.0,117,Test
am50_2p5_1801cQ4R3.png,109.0,111,Test
am50_2p5_1801cQ4R4.png,109.0,100,Test
am50_2p5_1817cQ4R1.png,109.0,114,Test
am50_2p5_1817cQ4R2.png,109.0,124,Test
am50_2p5_1817cQ4R3.png,109.0,110,Test
am50_2p5_1817cQ4R4.png,109.0,107,Test
am50_5p0_1799cQ2R1.png,109.0,104,Test
am50_5p0_1799cQ2R2.png,109.0,108,Test
am50_5p0_1799cQ2R3.png,109.0,106,Test
am50_5p0_1799cQ2R4.png,109.0,105,Test
am50_5p0_1787cQ1R1.png,109.0,85,Test
am50_5p0_1787cQ1R2.png,109.0,93,Test
am50_5p0_1787cQ1R3.png,109.0,99,Test
am50_5p0_1787cQ1R4.png,109.0,97,Test
am50_5p0_1787cQ4R1.png,109.0,92,Test
am50_5p0_1787cQ4R2.png,109.0,104,Test
am50_5p0_1787cQ4R3.png,109.0,86,Test
am50_5p0_1787cQ4R4.png,109.0,90,Test
am50_5p0_1793cQ2R1.png,109.0,98,Test
am50_5p0_1793cQ2R2.png,109.0,101,Test
am50_5p0_1793cQ2R3.png,109.0,91,Test
am50_5p0_1793cQ2R4.png,109.0,90,Test
am50_5p0_1793cQ3R1.png,109.0,67,Test
am50_5p0_1793cQ3R2.png,109.0,97,Test
am50_5p0_1793cQ3R3.png,109.0,82,Test
am50_5p0_1793cQ3R4.png,109.0,89,Test
am50_5p0_1800cQ2R1.png,109.0,101,Test
am50_5p0_1800cQ2R2.png,109.0,95,Test
am50_5p0_1800cQ2R3.png,109.0,99,Test
am50_5p0_1800cQ2R4.png,109.0,106,Test
am50_2p5_1806cQ1R1.png,109.0,92,Test
am50_2p5_1806cQ1R2.png,109.0,94,Test
am50_2p5_1806cQ1R3.png,109.0,97,Test
am50_2p5_1806cQ1R4.png,109.0,103,Test
am50_2p5_1821cQ1R1.png,109.0,112,Test
am50_2p5_1821cQ1R2.png,109.0,103,Test
am50_2p5_1821cQ1R3.png,109.0,100,Test
am50_2p5_1821cQ1R4.png,109.0,116,Test
am50_2p5_1810cQ3R1.png,109.0,96,Test
am50_2p5_1810cQ3R2.png,109.0,107,Test
am50_2p5_1810cQ3R3.png,109.0,104,Test
