Source,Image Name,Expected,Average Prediction,MAPE,,Worst,,,,Best,,,
Magnesium Dataset,am40_2p5_1748,107,107,0,,am70_2p5_f_1600,127,108.75,16.7816091954023,am40_2p5_1748,107,107,0
Magnesium Dataset,am50_2p5_1826,109,109,0,,am70_2p5_f_1598,127,151.75,16.3097199341021,am50_2p5_1826,109,109,0
Magnesium Dataset,am70_5p0_f_e_1575,127,127.05,0.039354584809128,,am60_5p0_1636,120,105.4375,13.8114997036159,am70_5p0_f_e_1575,127,127.05,0.039354584809128
Magnesium Dataset,am40_2p5_1743,107,106.875,0.116959064327485,,,,,,,,,
Magnesium Dataset,am60_2p5_1658,120,120.15625,0.130039011703511,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1577,127,127.25,0.196463654223969,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1570,127,127.25,0.196463654223969,,,,,,,,,
Magnesium Dataset,am40_5p0_1693,107,106.777777777778,0.208116545265354,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1586,127,126.708333333333,0.230187438342654,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1625,120,119.7,0.250626566416038,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1633,120,119.666666666667,0.278551532033422,,,,,,,,,
Magnesium Dataset,am40_2p5_1765,107,107.3,0.279589934762346,,,,,,,,,
Magnesium Dataset,am60_5p0_1650,120,119.642857142857,0.298507462686571,,,,,,,,,
Magnesium Dataset,am40_5p0_1713,107,106.666666666667,0.312499999999996,,,,,,,,,
Magnesium Dataset,am60_5p0_1653,120,119.625,0.313479623824451,,,,,,,,,
Magnesium Dataset,am60_2p5_1669,120,119.625,0.313479623824451,,,,,,,,,
Magnesium Dataset,am50_2p5_1809,109,109.375,0.342857142857143,,,,,,,,,
Magnesium Dataset,am50_5p0_1772,109,109.375,0.342857142857143,,,,,,,,,
Magnesium Dataset,am50_5p0_1788,109,108.625,0.345224395857307,,,,,,,,,
Magnesium Dataset,am40_5p0_1696,107,106.625,0.351699882766706,,,,,,,,,
Magnesium Dataset,am40_2p5_1728,107,106.625,0.351699882766706,,,,,,,,,
Magnesium Dataset,am40_2p5_1755,107,106.583333333333,0.390930414386244,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1610,127,127.5,0.392156862745098,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1571,127,127.5,0.392156862745098,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1608,127,126.5,0.395256916996047,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1634,120,120.5,0.4149377593361,,,,,,,,,
Magnesium Dataset,am60_5p0_1648,120,119.5,0.418410041841004,,,,,,,,,
Magnesium Dataset,am60_5p0_1645,120,120.535714285714,0.444444444444449,,,,,,,,,
Magnesium Dataset,am50_5p0_1789,109,109.5,0.45662100456621,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1573,127,127.583333333333,0.457217504898755,,,,,,,,,
Magnesium Dataset,am40_2p5_1735,107,107.5,0.465116279069767,,,,,,,,,
Magnesium Dataset,am40_2p5_1744,107,107.5,0.465116279069767,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1583,127,127.6,0.470219435736673,,,,,,,,,
Magnesium Dataset,am50_2p5_1825,109,109.5625,0.513405590416429,,,,,,,,,
Magnesium Dataset,am50_5p0_1779,109,108.416666666667,0.538047655649496,,,,,,,,,
Magnesium Dataset,am40_2p5_1745,107,107.625,0.580720092915215,,,,,,,,,
Magnesium Dataset,am40_2p5_1758,107,106.321428571429,0.638226402418544,,,,,,,,,
Magnesium Dataset,am50_2p5_1830,109,109.75,0.683371298405467,,,,,,,,,
Magnesium Dataset,am50_2p5_1824,109,108.25,0.69284064665127,,,,,,,,,
Magnesium Dataset,am50_5p0_1794,109,108.25,0.69284064665127,,,,,,,,,
Magnesium Dataset,am40_2p5_1732,107,107.75,0.696055684454756,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1569,127,126.083333333333,0.727032385988107,,,,,,,,,
Magnesium Dataset,am40_2p5_1722,107,106.2,0.753295668549903,,,,,,,,,
Magnesium Dataset,am40_2p5_1752,107,107.833333333333,0.772797527047909,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1597,127,128,0.78125,,,,,,,,,
Magnesium Dataset,am60_2p5_1682,120,119.0625,0.78740157480315,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1568,127,126,0.793650793650794,,,,,,,,,
Magnesium Dataset,am40_2p5_1762,107,107.875,0.811123986095017,,,,,,,,,
Magnesium Dataset,am40_2p5_1761,107,107.916666666667,0.849420849420854,,,,,,,,,
Magnesium Dataset,am50_5p0_1792,109,109.9375,0.852757248436612,,,,,,,,,
Magnesium Dataset,am60_2p5_1661,120,118.928571428571,0.900900900900899,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1631,120,121.125,0.928792569659443,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1606,127,125.8125,0.943864878291108,,,,,,,,,
Magnesium Dataset,am60_2p5_1663,120,118.875,0.946372239747634,,,,,,,,,
Magnesium Dataset,am50_5p0_1786,109,107.958333333333,0.964878425318414,,,,,,,,,
Magnesium Dataset,am60_5p0_1655,120,118.833333333333,0.98176718092567,,,,,,,,,
