Source,Alloy Name,Expected,Average Prediction
ASM Dataset,2024 T3,290.0,276.8452380952381
ASM Dataset,301 Quarter Hard,590.0,833.4375
ASM Dataset,C28000 M20,150.0,212.91666666666666
ASM Dataset,8620 Normalized,360.0,471.4166666666667
ASM Dataset,301 Sixteenth Hard,350.0,481.25
ASM Dataset,CK-20 As Cast,195.0,310.7142857142857
ASM Dataset,8617 A,320.0,262.5
ASM Dataset,N13100,655.0,967.5
ASM Dataset,ZK60A F,230.0,286.95
ASM Dataset,ASTM A890 5A As Cast,515.0,357.25
ASM Dataset,ASTM A 542 class 2 QT,690.0,655.7777777777778
ASM Dataset,C85200,95.0,144.01785714285714
ASM Dataset,AL-6XN,370.0,190.3
ASM Dataset,1015 Normalized,325.0,326.1
ASM Dataset,302 Annealed,275.0,329.4166666666667
ASM Dataset,R50700 A,590.0,472.27777777777777
ASM Dataset,C443.0,100.0,141.375
ASM Dataset,C11000 A,69.0,178.85
ASM Dataset,ZK51A T5,150.0,169.91666666666666
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Ti-6Al-2Sn-4Zr-2Mo-0.1Si,896.0,875.7645348837209
ASM Dataset,356.0 T51,110.0,136.6875
ASM Dataset,C95500 as Cast,320.0,358.32142857142856
ASM Dataset,R56210 A,760.0,644.5
ASM Dataset,C51000 A,130.0,169.625
ASM Dataset,1020 Hot Rolled,205.0,220.83333333333334
ASM Dataset,ASTM A216 WCA Annealed,230.0,199.27272727272728
ASM Dataset,D3 QT,1550.0,1553.7916666666667
ASM Dataset,ASTM A516 Grade 70,260.0,309.75
ASM Dataset,520.0 T4,152.0,264.9166666666667
ASM Dataset,6151 T6,295.0,334.3333333333333
ASM Dataset,R56400 STA,1100.0,853.9
ASM Dataset,413,130.0,309.65
ASM Dataset,356.0 T6,152.0,164.66666666666666
ASM Dataset,HK31A T6,105.0,163.08333333333334
ASM Dataset,238,210.0,154.1875
ASM Dataset,MP35N ColdW,1413.0,1322.0
ASM Dataset,304 Quarter Hard,515.0,539.1875
ASM Dataset,ASTM A36 As Rolled,250.0,280.4166666666667
ASM Dataset,Ti Grade 7 (CP) A,340.0,337.52272727272725
ASM Dataset,330 Annealed,290.0,439.1875
ASM Dataset,2219 T6,250.0,299.45
ASM Dataset,MetalTek C86300,415.0,399.7604166666667
ASM Dataset,8740 Tempered,1060.0,830.1666666666666
ASM Dataset,Discaloy STA,730.0,572.65
ASM Dataset,201.0-T7,400.0,292.97222222222223
ASM Dataset,440C Annealed,450.0,766.5
ASM Dataset,NearTi-17 HT,1014.0,962.1666666666666
ASM Dataset,1117 Normalized,305.0,228.28571428571428
ASM Dataset,C70600 A,100.0,248.3
ASM Dataset,HM21A T5,150.0,282.375
ASM Dataset,CA-6NM As Cast,550.0,428.875
ASM Dataset,7075 T7352,386.0,252.58333333333334
ASM Dataset,C11000 M20,77.0,139.75
ASM Dataset,17-7 PH Annealed,430.0,429.67857142857144
ASM Dataset,R58010 STA,1100.0,636.75
ASM Dataset,R56260 A,1020.0,754.375
ASM Dataset,2218 T61,305.0,351.625
ASM Dataset,1100 Annealed,34.5,339.85
ASM Dataset,PH 13-8 Mo HTA,1379.0,1057.25
ASM Dataset,319,96.5,257.2916666666667
ASM Dataset,N07750 HTA,655.0,711.6785714285714
ASM Dataset,4140 Normalized,635.0,482.95
ASM Dataset,431 Annealed,655.0,397.5
ASM Dataset,A286 STA,759.0,526.875
ASM Dataset,F33100 As Cast,310.0,264.8
ASM Dataset,C97600,140.0,148.65740740740742
ASM Dataset,A10 Annealed,470.0,520.3333333333334
ASM Dataset,C63200 TQ50,350.0,339.0357142857143
ASM Dataset,C14200 H55,230.0,193.5
ASM Dataset,304 Annealed,230.0,194.59375
ASM Dataset,2014 T4,290.0,275.05555555555554
ASM Dataset,C93200,130.0,170.3125
ASM Dataset,2024 T851,400.0,358.8125
ASM Dataset,C17510 AT,630.0,325.0
ASM Dataset,ASTM A537 Grade A Normalized,330.0,318.98333333333335
ASM Dataset,O6 Annealed,410.0,294.375
ASM Dataset,AZ92A T6,140.0,195.21875
ASM Dataset,410 Tempered at 453c,920.0,1028.8333333333333
ASM Dataset,2024 Annealed,95.0,143.57142857142858
ASM Dataset,718 ColdWA,1455.0,1273.25
ASM Dataset,AZ91C T6,130.0,426.875
ASM Dataset,R50250 A,240.0,365.35
ASM Dataset,C10200 A,90.0,173.08333333333334
ASM Dataset,Muntz Metal,110.0,117.125
ASM Dataset,15-5 PH STA,1069.0,950.4642857142857
ASM Dataset,QE22A T6,190.0,242.82142857142858
ASM Dataset,ASTM 897M 850-550-10 As Cast,758.0,624.3333333333334
ASM Dataset,C12500 M20,75.0,246.5
ASM Dataset,AZ63A T6,120.0,173.8125
ASM Dataset,4140 HTQT620,889.0,743.6875
ASM Dataset,CA6NM Tempered,690.0,639.5357142857143
ASM Dataset,ASTM A572 Grade 55,380.0,419.125
ASM Dataset,17-4 PH HT,985.0,829.0
ASM Dataset,5086 H34,255.0,272.125
ASM Dataset,C18100 CWA,455.0,358.55357142857144
ASM Dataset,N07001 Aged,850.0,478.9166666666667
ASM Dataset,ZK60A T5 Forged,215.0,211.83333333333334
ASM Dataset,HZ32A T5,90.0,157.8125
ASM Dataset,C17510 A,120.0,263.75
ASM Dataset,A357.0 T61,250.0,261.15
ASM Dataset,443,48.3,94.875
ASM Dataset,ASTM A537 Grade B QT,415.0,545.6323529411765
ASM Dataset,ASTM A27 As Cast,230.0,193.875
ASM Dataset,C95500,395.0,500.0
ASM Dataset,C85700,110.0,305.70454545454544
ASM Dataset,C61800,310.0,448.265625
ASM Dataset,CA15 Tempered at 1200F,690.0,573.945652173913
ASM Dataset,316 Annealed,230.0,253.9404761904762
ASM Dataset,ZH62A T5,170.0,186.41666666666666
ASM Dataset,ASTM A216 WCB Annealed,280.0,258.25
ASM Dataset,R56400 A,830.0,876.0357142857143
ASM Dataset,R58640 STA,1120.0,810.9166666666666
ASM Dataset,L-605 ColdW,1600.0,1071.65
Magnesium Dataset,AM50,109.0,107.3092105263158
ASM Dataset,Ti-10-2-3 Sample 4,1169.0,1008.6
ASM Dataset,ASTM A106 grade B,240.0,301.0
ASM Dataset,SAF 2205 Annealed,500.0,441.55
ASM Dataset,409 Annealed,200.0,230.05
ASM Dataset,R30155 STQ,384.0,353.6666666666667
ASM Dataset,201 Stainless Steel Annealed,301.0,239.34375
ASM Dataset,A356.0,83.0,93.5
ASM Dataset,AZ63A T4,85.0,136.25
ASM Dataset,B443.0,41.4,87.0625
ASM Dataset,C35000,90.0,238.41666666666666
ASM Dataset,ASTM A562 A,205.0,251.025
ASM Dataset,ASTM A216 WCB Normalized,280.0,228.28947368421052
ASM Dataset,R56400 A1,805.0,820.2
ASM Dataset,CA15 As Cast,450.0,466.25
