Source,Alloy Name,Expected,Average Prediction
ASM Dataset,5086 H34,255.0,358.28723404255317
ASM Dataset,443,48.30000000000001,116.27142857142857
ASM Dataset,5083 H112,190.0,219.06338028169014
ASM Dataset,1015 Normalized,325.0,317.5067567567568
ASM Dataset,330 Annealed,290.0,466.8071428571429
ASM Dataset,ASTM A 542 class 2 QT,690.0,582.5525
ASM Dataset,R54810 HT,1070.0,890.3591549295775
ASM Dataset,ASTM A537 Grade A Normalized,330.0,331.0924657534247
ASM Dataset,MP35N ColdW,1413.0,1242.310606060606
Magnesium Dataset,AM40,107.0,111.16250974279033
ASM Dataset,316 Annealed,230.0,286.912037037037
ASM Dataset,301 Full Hard,1080.0,1024.7635135135135
ASM Dataset,ASTM A890 5A As Cast,515.0,383.03205128205127
ASM Dataset,B443.0,41.39999999999999,107.86413043478261
ASM Dataset,CA15 As Cast,450.0,459.82848837209303
ASM Dataset,R56400 Plate A,828.0,732.5403225806451
ASM Dataset,356,100.0,164.10164835164835
ASM Dataset,2618 T4,450.0,414.2381656804734
ASM Dataset,C90300,125.0,182.4203125
ASM Dataset,718 HTA,1000.0,676.5627802690583
ASM Dataset,R50250 A,240.0,274.97435897435895
ASM Dataset,A10 Annealed,470.0,491.3690476190476
ASM Dataset,Ti-10-2-3 Sample 4,1169.0,990.7743902439024
ASM Dataset,ASTM 897M 850-550-10 As Cast,758.0,618.7430555555555
ASM Dataset,301 Quarter Hard,590.0,770.5548780487804
ASM Dataset,W1 Annealed,330.0,355.6006097560976
ASM Dataset,5456 Annealed,159.0,284.3970588235294
Magnesium Dataset,AM50,109.0,109.36208316179497
ASM Dataset,1060 Hot Rolled,400.0,392.24264705882354
ASM Dataset,C443.0,100.0,164.04605263157896
ASM Dataset,PH 13-8 Mo HTA,1379.0,907.7784090909091
ASM Dataset,Elgiloy ColdW,1310.0,814.5441176470588
ASM Dataset,ZK60A T5 Forged,215.0,214.45833333333334
ASM Dataset,N07001 HTA,897.0,686.9313063063063
ASM Dataset,2219 T6,250.0,316.8888888888889
ASM Dataset,Ti Grade 7 (CP) A,340.0,320.32945736434107
ASM Dataset,1100 Annealed,34.5,341.4345238095238
ASM Dataset,Ti-10-2-3 Sample 3,1191.0,1128.6858974358975
ASM Dataset,R30155 STQ,384.0,331.2068965517241
ASM Dataset,8620 Normalized,360.0,473.3152173913044
ASM Dataset,J92500,205.0,163.1216216216216
ASM Dataset,ASTM A216 WCB Normalized,280.0,240.70474137931035
ASM Dataset,ZK60A T5,230.0,229.359375
ASM Dataset,R58640 STA,1120.0,868.5340909090909
ASM Dataset,440A Tempered,1650.0,1347.141304347826
ASM Dataset,440C Annealed,450.0,769.6973684210526
ASM Dataset,309 Annealed,275.0,255.36184210526315
ASM Dataset,201.0-T7,400.0,315.35759493670884
ASM Dataset,2218 T61,305.0,326.4166666666667
ASM Dataset,ZK51A T5,150.0,219.15540540540542
ASM Dataset,HK31A T6,105.0,131.2027027027027
ASM Dataset,C95400 Tempered,310.0,365.314606741573
ASM Dataset,C70600 A,100.0,174.28246753246754
ASM Dataset,7050 T73652,455.0,457.2804347826087
ASM Dataset,413,130.0,264.7625
ASM Dataset,A357.0 T61,250.0,263.2668539325843
ASM Dataset,C95500 as Cast,320.0,369.61071428571427
ASM Dataset,3003 Annealed,41.0,147.08881578947367
ASM Dataset,15-5 PH STA,1069.0,1072.1857142857143
ASM Dataset,C14200 H55,230.0,196.22560975609755
ASM Dataset,CA15 Tempered at 1200F,690.0,597.4265536723163
ASM Dataset,L-605 ColdW,1600.0,1023.8875
ASM Dataset,C35000,90.0,235.6404109589041
ASM Dataset,AZ63A T6,120.0,199.58823529411765
ASM Dataset,R56400 A,830.0,717.7922077922078
ASM Dataset,D3 QT,1550.0,1467.046511627907
ASM Dataset,4140 HTQT620,889.0,766.2837837837837
ASM Dataset,R56401 A,790.0,600.0096153846154
ASM Dataset,R54620,910.0,861.390873015873
ASM Dataset,7075 T7352,386.0,308.4537037037037
ASM Dataset,C90700,150.0,314.33235294117645
ASM Dataset,C97800,170.0,191.88953488372093
ASM Dataset,8740 Annealed,380.0,395.51162790697674
ASM Dataset,520.0 T4,152.0,288.59567901234567
ASM Dataset,HM21A T5,150.0,332.9148936170213
ASM Dataset,431 Annealed,655.0,647.3928571428571
ASM Dataset,222,140.0,172.16666666666666
ASM Dataset,409 Annealed,200.0,201.77325581395348
ASM Dataset,R56260 A,1020.0,834.8333333333334
ASM Dataset,CA6NM Tempered,690.0,609.0390625
ASM Dataset,J92701,280.0,225.84558823529412
ASM Dataset,17-4 PH HT,985.0,892.0975609756098
ASM Dataset,9310 Normalized,570.0,646.3541666666666
ASM Dataset,5657 Annealed,40.0,109.03225806451613
ASM Dataset,6061 T651,276.0,299.16037735849056
ASM Dataset,AZ92A T6,140.0,211.47782258064515
ASM Dataset,C61300 M20,240.0,338.06439393939394
ASM Dataset,C93700,115.0,164.2138888888889
ASM Dataset,R50700 A,590.0,496.7110778443114
ASM Dataset,319.0 Solution aged,185.0,226.34259259259258
ASM Dataset,CA-6NM As Cast,550.0,526.3617021276596
ASM Dataset,17-7 PH CH900,1793.0,1256.9396551724137
ASM Dataset,ASTM A36 As Rolled,250.0,254.16071428571428
ASM Dataset,C10200 A,90.0,166.96818181818182
ASM Dataset,A356.0,83.0,84.52573529411765
ASM Dataset,5160 QT,1005.0,853.6197916666666
ASM Dataset,ASTM A285 Grade C,205.0,226.57954545454547
ASM Dataset,R56210 Hrolled,760.0,934.7916666666666
ASM Dataset,C95400 as Cast,240.0,223.65853658536585
ASM Dataset,CK-20 As Cast,195.0,312.79545454545456
ASM Dataset,R56400 A1,805.0,779.117088607595
ASM Dataset,ZK60A F,230.0,319.07954545454544
ASM Dataset,242,120.0,133.60294117647058
ASM Dataset,QE22A T6,190.0,242.1772151898734
ASM Dataset,2014 T4,290.0,275.09831460674155
ASM Dataset,2024 T6,345.0,375.58022388059703
ASM Dataset,4140 A Furnace Cooled,415.0,442.3
ASM Dataset,319,96.5,266.11538461538464
ASM Dataset,8617 A,320.0,282.4878048780488
ASM Dataset,R54520 A,840.0,634.2016129032259
ASM Dataset,Muntz Metal,110.0,147.42948717948718
ASM Dataset,R56210 A,760.0,709.920731707317
