Source,Image Name,Expected,Average Prediction
ASM Dataset,C26000 A-4,140.0,148.8372093023256
Magnesium Dataset,am70_5p0_f_e_1587,127.0,120.7375
ASM Dataset,C86300-8,460.0,457.53472222222223
ASM Dataset,C90300-2,125.0,134.51829268292684
ASM Dataset,440A Annealed-2,448.0,535.1190476190476
ASM Dataset,440C Temper 1-1,1900.0,1413.5217391304348
ASM Dataset,309 Annealed-1,275.0,255.36184210526315
ASM Dataset,AZ91C T6-1,130.0,346.88513513513516
ASM Dataset,R56210 Hrolled-1,760.0,934.7916666666666
ASM Dataset,R56400 A2-2,900.0,791.7430555555555
Magnesium Dataset,am50_5p0_1783,109.0,103.98529411764706
ASM Dataset,R56400 A-1,830.0,637.75
ASM Dataset,C93700-2,115.0,199.28
ASM Dataset,HM21A T5-1,150.0,332.9148936170213
Magnesium Dataset,am60_2p5_1672,120.0,119.8970588235294
Magnesium Dataset,am70_2p5_f_1614,127.0,125.07692307692308
ASM Dataset,R30075 HIP-1,840.0,790.7317073170732
Magnesium Dataset,am40_2p5_1725,107.0,111.27941176470588
Magnesium Dataset,am40_5p0_1698,107.0,110.49193548387096
ASM Dataset,413-0-1,130.0,264.7625
Magnesium Dataset,am60_5p0_1638,120.0,111.14444444444445
ASM Dataset,ASTM A537 Grade A Normalized-1,330.0,341.0625
Magnesium Dataset,am40_5p0_1694,107.0,111.32142857142857
ASM Dataset,C97600-2,140.0,180.66071428571428
Magnesium Dataset,am50_2p5_1829,109.0,106.43627450980392
ASM Dataset,A10 Annealed-1,470.0,491.3690476190476
ASM Dataset,R56400 Plate A-2,828.0,948.8030303030303
Magnesium Dataset,am40_5p0_1696,107.0,107.85897435897436
Magnesium Dataset,am60_2p5_1673,120.0,127.17567567567568
ASM Dataset,Ti Grade 7 (CP) A-3,340.0,364.9702380952381
ASM Dataset,N07001 HTA-5,897.0,454.4878048780488
ASM Dataset,4140 HTQT620-1,889.0,766.2837837837837
Magnesium Dataset,am40_2p5_1762,107.0,109.8375
ASM Dataset,ZK51A T5-1,150.0,219.15540540540542
ASM Dataset,R56210 A-1,760.0,709.920731707317
ASM Dataset,7075 Annealed-2,145.0,269.0135135135135
ASM Dataset,C17510 AT-1,630.0,415.78125
ASM Dataset,356-0-7,100.0,151.62209302325581
Magnesium Dataset,am50_2p5_1814,109.0,112.71621621621621
Magnesium Dataset,am40_2p5_1727,107.0,116.91847826086956
ASM Dataset,R54520 A-1,840.0,634.2016129032259
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-E,1050.0,1007.2
ASM Dataset,R54620-4,910.0,784.2941176470588
ASM Dataset,443-0-1,48.30000000000001,116.27142857142857
Magnesium Dataset,am60_2p5_1676,120.0,109.20454545454545
ASM Dataset,A357-0-T61-2,250.0,285.968085106383
ASM Dataset,7075 T7352-2,386.0,296.80263157894734
ASM Dataset,J92701-1,280.0,225.84558823529412
Magnesium Dataset,am40_2p5_1758,107.0,103.4140625
ASM Dataset,ASTM A537 Grade B QT-1,415.0,586.6739130434783
ASM Dataset,C93700-3,115.0,127.91463414634147
Magnesium Dataset,am70_5p0_f_e_1588,127.0,124.375
Magnesium Dataset,am70_5p0_f_e_1569,127.0,127.61320754716981
ASM Dataset,5657 Annealed-1,40.0,109.03225806451613
Magnesium Dataset,am50_2p5_1812,109.0,117.51470588235294
Magnesium Dataset,am70_5p0_f_1555,127.0,135.32386363636363
ASM Dataset,8620 Normalized-1,360.0,473.3152173913044
Magnesium Dataset,am60_5p0_edge_1626,120.0,110.0340909090909
Magnesium Dataset,am50_5p0_1789,109.0,111.17857142857143
ASM Dataset,316L Annealed-4,190.0,320.8
ASM Dataset,R54620-1,910.0,827.5227272727273
ASM Dataset,A356-0-2,83.0,87.36486486486487
ASM Dataset,2024-O-1,95.0,110.59868421052632
Magnesium Dataset,am50_5p0_1775,109.0,106.94186046511628
ASM Dataset,356-0-T6-2,152.0,162.3409090909091
ASM Dataset,1050 QT480-2,580.0,555.5357142857143
ASM Dataset,ASTM A216 WCA Annealed-1,230.0,220.82894736842104
Magnesium Dataset,am50_2p5_1816,109.0,113.90277777777777
ASM Dataset,R50700 A-2,590.0,451.9261363636364
Magnesium Dataset,am70_2p5_f_1602,127.0,128.38690476190476
ASM Dataset,C26000 A-10,140.0,150.04761904761904
ASM Dataset,2024 T3-4,290.0,252.9527027027027
Magnesium Dataset,am70_2p5_f_1591,127.0,122.20833333333333
Magnesium Dataset,am40_2p5_1722,107.0,105.2797619047619
Magnesium Dataset,am50_5p0_1788,109.0,112.10344827586206
ASM Dataset,R54810 HT-2,1070.0,1048.0202702702702
Magnesium Dataset,am40_2p5_1731,107.0,112.8546511627907
Magnesium Dataset,am60_5p0_1647,120.0,112.57051282051282
Magnesium Dataset,am60_5p0_1656,120.0,114.23611111111111
ASM Dataset,2218 T61-1,305.0,326.4166666666667
ASM Dataset,201 Stainless Steel Annealed-2,301.0,228.7012195121951
ASM Dataset,2024 T6-1,345.0,311.29651162790697
ASM Dataset,17-7 PH TH1050-1,1276.0,780.1416666666667
ASM Dataset,C35000-2,90.0,244.01973684210526
ASM Dataset,R56401 A-1,790.0,600.0096153846154
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-250x,1050.0,1047.471590909091
Magnesium Dataset,am50_5p0_1777,109.0,110.29255319148936
Magnesium Dataset,am40_2p5_1765,107.0,108.19871794871794
ASM Dataset,1060 Hot Rolled-2,400.0,375.75
ASM Dataset,308-0-1,110.0,119.07317073170732
ASM Dataset,ASTM A517 Grade B QT-2,655.0,627.21875
Magnesium Dataset,am60_5p0_edge_1630,120.0,120.01923076923077
ASM Dataset,2618 T4-4,450.0,442.18243243243245
Magnesium Dataset,am60_5p0_1641,120.0,112.49468085106383
ASM Dataset,C97600-1,140.0,128.0808823529412
ASM Dataset,C11000 M20-6,77.0,110.05
Magnesium Dataset,am40_2p5_1730,107.0,112.0546875
ASM Dataset,316L Annealed-1,190.0,201.1173469387755
Magnesium Dataset,am40_5p0_1712,107.0,113.58783783783784
ASM Dataset,R56400 A2-1,900.0,806.1397058823529
ASM Dataset,2014-T6-1,483.0,357.55
ASM Dataset,ASTM A216 WCB Annealed-1,280.0,271.0
ASM Dataset,1050 QT480-1,580.0,648.9947916666666
ASM Dataset,ZH62A T5-1,170.0,221.125
ASM Dataset,8617 A-1,320.0,282.4878048780488
ASM Dataset,G3000 As Cast-1,150.0,274.4345238095238
Magnesium Dataset,am40_2p5_1732,107.0,122.10416666666667
Magnesium Dataset,am60_5p0_edge_1631,120.0,114.18333333333334
ASM Dataset,CA15 Tempered at 1200F-2,690.0,553.7132352941177
Magnesium Dataset,am60_5p0_edge_1635,120.0,114.67647058823529
ASM Dataset,ZK60A T5 Forged-1,215.0,214.45833333333334
ASM Dataset,440B Tempered-1,1860.0,1469.189024390244
ASM Dataset,C11000 M20-4,77.0,119.20138888888889
Magnesium Dataset,am70_2p5_f_1605,127.0,135.04761904761904
Magnesium Dataset,am40_2p5_1767,107.0,111.55882352941177
ASM Dataset,ASTM A562 A-1,205.0,339.9234693877551
Magnesium Dataset,am60_5p0_1637,120.0,112.46022727272727
ASM Dataset,2024 T6-3,345.0,438.59659090909093
ASM Dataset,C11000 A-2,69.0,125.32236842105263
Magnesium Dataset,am70_5p0_f_e_1571,127.0,128.65625
ASM Dataset,1060 Hot Rolled-1,400.0,406.06081081081084
Magnesium Dataset,am70_5p0_f_e_1565,127.0,127.5297619047619
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face3-500x-A,1050.0,998.8690476190476
Magnesium Dataset,am50_2p5_1827,109.0,116.10365853658537
Magnesium Dataset,am70_5p0_f_e_1577,127.0,124.85714285714286
Magnesium Dataset,am40_2p5_1744,107.0,111.86111111111111
ASM Dataset,410 Annealed-1,290.0,749.875
Magnesium Dataset,am60_2p5_1677,120.0,119.87857142857143
ASM Dataset,356-0-2,100.0,243.75
Magnesium Dataset,am70_2p5_f_1612,127.0,121.5
ASM Dataset,410 Tempered at 453c-1,920.0,948.75
ASM Dataset,17-7 PH Annealed-1,430.0,459.9621212121212
Magnesium Dataset,am70_2p5_f_1604,127.0,129.20535714285714
Magnesium Dataset,am40_2p5_1751,107.0,111.75
ASM Dataset,C26000 A-5,140.0,114.1734693877551
ASM Dataset,316 Annealed-3,230.0,242.5608108108108
Magnesium Dataset,am50_5p0_1786,109.0,108.21323529411765
ASM Dataset,5457 Annealed-1,48.0,91.01315789473684
ASM Dataset,1100-O-1,34.5,341.4345238095238
Magnesium Dataset,am70_2p5_f_1595,127.0,125.16037735849056
ASM Dataset,C95400 Tempered-2,310.0,382.6222222222222
ASM Dataset,440A Tempered-1,1650.0,1347.141304347826
ASM Dataset,N13100-1,655.0,656.0108695652174
ASM Dataset,CA-6NM As Cast-1,550.0,526.3617021276596
ASM Dataset,2024 T851-1,400.0,321.325
Magnesium Dataset,am40_5p0_1697,107.0,115.75675675675676
ASM Dataset,R58640 STA-1,1120.0,868.5340909090909
Magnesium Dataset,am70_5p0_f_e_1589,127.0,128.09756097560975
ASM Dataset,319-0-1,96.5,266.11538461538464
Magnesium Dataset,am70_2p5_f_1593,127.0,124.54605263157895
Magnesium Dataset,am40_5p0_1716,107.0,104.2125
ASM Dataset,356-0-T51-1,110.0,122.94270833333333
ASM Dataset,R50700 A-3,590.0,491.29375
ASM Dataset,C18100 CWA-2,455.0,362.8231707317073
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,1050.0,1075.5487804878048
Magnesium Dataset,am50_2p5_1809,109.0,107.6025641025641
Magnesium Dataset,am60_5p0_edge_1623,120.0,116.61842105263158
Magnesium Dataset,am50_2p5_1802,109.0,98.72395833333333
