Source,Alloy Name,Expected,Average Prediction
ASM Dataset,Muntz Metal,110.0,169.75757575757575
ASM Dataset,ASTM A572 Grade 55,380.0,389.6666666666667
ASM Dataset,ASTM A 542 class 2 QT,690.0,570.2253521126761
ASM Dataset,Elgiloy A,510.0,537.5
ASM Dataset,Ti-10-2-3 Sample 2,1195.0,1028.9634146341464
ASM Dataset,A10 Annealed,470.0,484.3515625
ASM Dataset,C97800,170.0,182.75892857142858
ASM Dataset,MetalTek C86300,415.0,443.60833333333335
ASM Dataset,4130 A Furnace Cooled,460.0,507.2865853658537
ASM Dataset,5456 Annealed,159.0,284.11046511627904
ASM Dataset,C17510 A,120.0,288.3716216216216
ASM Dataset,17-7 PH CH900,1793.0,1267.7073170731708
ASM Dataset,R58010 ST,830.0,439.67391304347825
ASM Dataset,F33100 As Cast,310.0,299.9791666666667
ASM Dataset,C18100 CWA,455.0,389.70238095238096
ASM Dataset,3003 Annealed,41.0,127.433908045977
ASM Dataset,R56320 A,550.0,433.0914634146341
ASM Dataset,J92701,280.0,221.9078947368421
ASM Dataset,AZ91C F,83.0,119.0078125
ASM Dataset,R58640 STA,1120.0,848.2222222222222
ASM Dataset,1050 QT480,580.0,598.885294117647
ASM Dataset,HM31A T5,270.0,423.7413793103448
ASM Dataset,7050 T73652,455.0,451.95
ASM Dataset,2618 T4,450.0,404.01846590909093
ASM Dataset,440C Temper 2,1865.0,952.1973684210526
ASM Dataset,2024 T3,290.0,261.1859375
ASM Dataset,R54810 HT,1070.0,911.3115577889447
ASM Dataset,CK-20 As Cast,195.0,326.93589743589746
ASM Dataset,CA15 Tempered at 1200F,690.0,592.270618556701
ASM Dataset,2024 T6,345.0,366.1535714285714
ASM Dataset,CA15 As Cast,450.0,478.82267441860466
ASM Dataset,ASTM 897M 850-550-10 As Cast,758.0,578.16875
ASM Dataset,1100 Annealed,34.5,308.61875
ASM Dataset,718 HTA,1000.0,651.2884615384615
ASM Dataset,R56400 Plate A,828.0,748.4734042553191
ASM Dataset,C443.0,100.0,176.96511627906978
ASM Dataset,CA6NM Tempered,690.0,610.1350806451613
ASM Dataset,Ti-10-2-3 Sample 3,1191.0,1102.2837837837837
ASM Dataset,EZ33A T5,100.0,124.40277777777777
ASM Dataset,N07750 HTA,655.0,637.578125
Magnesium Dataset,AM70,127.0,127.97552122114669
ASM Dataset,6061 T651,276.0,307.1474358974359
ASM Dataset,520.0 T4,152.0,274.1388888888889
ASM Dataset,ZK51A T5,150.0,203.17857142857142
ASM Dataset,301 Full Hard,1080.0,1074.638888888889
ASM Dataset,N13100,655.0,685.2573529411765
ASM Dataset,CA-6NM As Cast,550.0,521.8313953488372
ASM Dataset,308,110.0,126.859375
ASM Dataset,431 Annealed,655.0,642.6597222222222
ASM Dataset,N30002,275.0,225.11184210526315
ASM Dataset,Ti Grade 7 (CP) A,340.0,319.86174242424244
ASM Dataset,L-605 ColdW,1600.0,1124.076923076923
ASM Dataset,5086 H34,255.0,334.4825581395349
ASM Dataset,4140 HTQT620,889.0,746.4807692307693
ASM Dataset,N08800 A,210.0,200.8515625
ASM Dataset,238,210.0,176.8310810810811
ASM Dataset,ASTM A216 WCB Normalized,280.0,239.1904761904762
ASM Dataset,ZH62A T5,170.0,231.67948717948718
ASM Dataset,C17510 AT,630.0,397.8602941176471
ASM Dataset,440C Temper 1,1900.0,1362.2302631578948
ASM Dataset,718 ColdWA,1455.0,1235.320512820513
ASM Dataset,C70600 A,100.0,169.88333333333333
ASM Dataset,HM21A T8,170.0,450.1283783783784
ASM Dataset,17-7 PH Annealed,430.0,460.014367816092
ASM Dataset,5160 QT,1005.0,865.9285714285714
ASM Dataset,5457 Annealed,48.0,96.05592105263158
ASM Dataset,ZK60A F,230.0,303.3355263157895
ASM Dataset,17-4 PH HT,985.0,857.88125
ASM Dataset,C95500 as Cast,320.0,361.49342105263156
ASM Dataset,1117 Normalized,305.0,235.3815789473684
ASM Dataset,ASTM A562 A,205.0,330.51234567901236
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Ti-6Al-2Sn-4Zr-2Mo-0.1Si,896.0,879.9469461697722
ASM Dataset,R56400 Forging A,860.0,571.297619047619
ASM Dataset,2218 T61,305.0,322.6333333333333
ASM Dataset,SAF 2205 Annealed,500.0,455.13953488372096
ASM Dataset,QE22A T6,190.0,229.4527027027027
ASM Dataset,C51000 A,130.0,211.6931818181818
ASM Dataset,N07001 Aged,850.0,517.2109375
ASM Dataset,5657 Annealed,40.0,119.02314814814815
ASM Dataset,1050 QT595,543.0,548.1585365853658
ASM Dataset,413,130.0,274.6474358974359
ASM Dataset,C90300,125.0,185.54834254143645
ASM Dataset,410 Annealed,290.0,653.0853658536586
ASM Dataset,C10200 A,90.0,167.84677419354838
ASM Dataset,AZ63A T4,85.0,156.52586206896552
ASM Dataset,HM21A T5,150.0,302.6201923076923
ASM Dataset,ASTM A216 WCB Annealed,280.0,257.515625
ASM Dataset,Ti-10-2-3 Sample 4,1169.0,1000.3161764705883
ASM Dataset,ASTM A517 Grade B QT,655.0,648.5957446808511
ASM Dataset,R50250 A,240.0,293.93918918918916
ASM Dataset,4130 Normalized,435.0,380.29787234042556
ASM Dataset,C93200,130.0,164.96913580246914
ASM Dataset,410 Tempered at 453c,920.0,942.2826086956521
ASM Dataset,ASTM A515 Grade 70,265.0,318.06481481481484
Magnesium Dataset,AM40,107.0,111.0747582205029
ASM Dataset,301 Sixteenth Hard,350.0,425.3222222222222
ASM Dataset,302 Annealed,275.0,319.6190476190476
ASM Dataset,C85200,95.0,180.49149659863946
ASM Dataset,6151 T6,295.0,298.1290322580645
ASM Dataset,A356.0,83.0,85.93333333333334
ASM Dataset,J92500,205.0,162.98529411764707
ASM Dataset,ASTM A537 Grade A Normalized,330.0,343.94557823129253
ASM Dataset,W1 Annealed,330.0,325.68092105263156
ASM Dataset,409 Annealed,200.0,201.01666666666668
ASM Dataset,AL-6XN,370.0,211.32692307692307
ASM Dataset,356.0 T6,152.0,167.90208333333334
ASM Dataset,A286 STA,759.0,569.9112903225806
ASM Dataset,4140 HTQT595,1025.0,853.3486842105264
ASM Dataset,242,120.0,129.67307692307693
ASM Dataset,F33800 As Cast,410.0,307.8780487804878
ASM Dataset,R56400 STA,1100.0,785.9292452830189
ASM Dataset,ASTM A285 Grade C,205.0,226.80555555555554
ASM Dataset,2014 T6,483.0,378.640756302521
Magnesium Dataset,AM50,109.0,109.53286616660087
ASM Dataset,N07713,690.0,490.99333333333334
ASM Dataset,ASTM A27 As Cast,230.0,187.49358974358975
ASM Dataset,201.0-T7,400.0,296.78164556962025
ASM Dataset,5083 H112,190.0,223.3586956521739
ASM Dataset,C83600,95.0,197.9784946236559
ASM Dataset,4140 A Furnace Cooled,415.0,416.31410256410254
ASM Dataset,C61300 M20,240.0,319.25986842105266
ASM Dataset,8617 A,320.0,285.81756756756755
ASM Dataset,430 Annealed,260.0,272.5274390243902
ASM Dataset,ASTM A537 Grade B QT,415.0,482.3913934426229
ASM Dataset,15-5 PH STA,1069.0,982.4565217391304
ASM Dataset,319,96.5,282.390243902439
ASM Dataset,NearTi-17 HT,1014.0,895.9
ASM Dataset,2219 T6,250.0,327.0810810810811
ASM Dataset,C11000 M20,77.0,144.69565217391303
ASM Dataset,356,100.0,161.74809885931558
ASM Dataset,7075 T7352,386.0,291.9611111111111
ASM Dataset,N07001 HTA,897.0,689.6794871794872
ASM Dataset,ASTM 897M 1400-1100-01 As Cast,1240.0,976.189393939394
ASM Dataset,17-7 PH TH1050,1276.0,790.831081081081
ASM Dataset,C12500 M20,75.0,283.9817073170732
ASM Dataset,Discaloy STA,730.0,553.7272727272727
ASM Dataset,8620 Normalized,360.0,480.95512820512823
ASM Dataset,HZ32A T5,90.0,142.7906976744186
ASM Dataset,PH 13-8 Mo HTA,1379.0,857.9591836734694
ASM Dataset,ASTM A106 grade B,240.0,284.22340425531917
ASM Dataset,O6 Annealed,410.0,291.75
ASM Dataset,2024 T851,400.0,314.0056818181818
ASM Dataset,ZK60A T5,230.0,221.3719512195122
ASM Dataset,MP35N ColdW,1413.0,1221.3088235294117
ASM Dataset,355.0 T6,185.0,213.7445652173913
ASM Dataset,440C Annealed,450.0,770.170731707317
ASM Dataset,AZ92A T6,140.0,207.49516129032259
ASM Dataset,ASTM A572 Grade 65,510.0,523.1285714285714
ASM Dataset,ASTM 897M 1200-850-04 As Cast,1100.0,886.0
ASM Dataset,1015 Normalized,325.0,315.29545454545456
ASM Dataset,Class 30 As Cast,130.0,252.21476510067114
ASM Dataset,C95500,395.0,501.20098039215685
ASM Dataset,440A Tempered,1650.0,1279.281914893617
ASM Dataset,R54620 HT,895.0,865.2651515151515
ASM Dataset,C14200 H55,230.0,196.58139534883722
ASM Dataset,R56320 CWSR,724.0,713.0763888888889
ASM Dataset,R56260 A,1020.0,867.2916666666666
ASM Dataset,ASTM A27 Annealed,205.0,226.0513698630137
ASM Dataset,ASTM A36 As Rolled,250.0,258.2826086956522
ASM Dataset,C26000 A,140.0,163.02454780361757
ASM Dataset,431 Tempered,800.0,826.6696428571429
ASM Dataset,C85700,110.0,291.82880434782606
ASM Dataset,1020 Hot Rolled,205.0,227.57386363636363
ASM Dataset,C35000,90.0,243.9320987654321
ASM Dataset,7075 Annealed,145.0,237.8181818181818
ASM Dataset,R58010 STA,1100.0,591.59375
ASM Dataset,R56400 A,830.0,745.4511494252873
ASM Dataset,R54620,910.0,850.9285714285714
ASM Dataset,9310 Normalized,570.0,661.2258064516129
ASM Dataset,AZ63A T6,120.0,205.99074074074073
ASM Dataset,4140 Normalized,635.0,492.20108695652175
ASM Dataset,CN-7M As Cast,275.0,327.7305194805195
ASM Dataset,R56400 A2,900.0,772.6075581395348
ASM Dataset,4118 QT,620.0,450.48214285714283
ASM Dataset,C63200 TQ50,350.0,378.8932038834951
ASM Dataset,330 Annealed,290.0,427.5855263157895
ASM Dataset,440A Annealed,448.0,505.67721518987344
ASM Dataset,C61800,310.0,523.4005524861878
ASM Dataset,Elgiloy ColdW,1310.0,840.8602941176471
ASM Dataset,304 Quarter Hard,515.0,501.4642857142857
ASM Dataset,C90700,150.0,295.4896907216495
ASM Dataset,222,140.0,184.859756097561
ASM Dataset,B443.0,41.4,106.2
ASM Dataset,HK31A T6,105.0,146.26973684210526
ASM Dataset,356.0 T51,110.0,130.28488372093022
ASM Dataset,C86300,460.0,422.86309523809524
ASM Dataset,AZ91A F,160.0,280.5853658536585
ASM Dataset,R50400 A,340.0,334.96875
ASM Dataset,R30155 STQ,384.0,341.6764705882353
ASM Dataset,C97600,140.0,155.3014403292181
ASM Dataset,R54520 A,840.0,596.0526315789474
ASM Dataset,ASTM A890 5A As Cast,515.0,358.7134146341463
ASM Dataset,D3 QT,1550.0,1509.7173913043478
ASM Dataset,443,48.3,125.63
ASM Dataset,R30075 HIP,840.0,786.3011363636364
ASM Dataset,A357.0 T61,250.0,259.7057291666667
ASM Dataset,C28000 M20,150.0,197.47093023255815
ASM Dataset,1015 Cold Drawn,325.0,420.5541237113402
ASM Dataset,R56400 A1,805.0,776.3514492753624
ASM Dataset,301 Quarter Hard,590.0,713.5923913043479
ASM Dataset,304 Annealed,230.0,220.58024691358025
ASM Dataset,1060 Hot Rolled,400.0,385.39935064935065
ASM Dataset,8740 Tempered,1060.0,840.4277777777778
ASM Dataset,ASTM A216 WCA Annealed,230.0,198.10416666666666
ASM Dataset,R56210 A,760.0,713.5
ASM Dataset,316 Annealed,230.0,272.4217032967033
ASM Dataset,G3000 As Cast,150.0,208.84375
ASM Dataset,TRIP 780 Cold Rolled,500.0,299.2613636363636
ASM Dataset,440B Tempered,1860.0,1410.1875
ASM Dataset,C95400 Tempered,310.0,355.1573033707865
