Source,Image Name,Expected,Average Prediction
ASM Dataset,CA15 Tempered at 1200F-1,690.0,568.1176470588235
Magnesium Dataset,am60_5p0_edge_1629,120.0,119.60416666666667
ASM Dataset,D3 QT-1,1550.0,1509.7173913043478
ASM Dataset,R56210 Hrolled-1,760.0,891.4114583333334
ASM Dataset,C85700-2,110.0,351.45212765957444
ASM Dataset,301 Sixteenth Hard-1,350.0,425.3222222222222
ASM Dataset,3003 Annealed-1,41.0,116.00595238095238
Magnesium Dataset,am60_5p0_1653,120.0,117.165
ASM Dataset,L-605 ColdW-1,1600.0,1124.076923076923
ASM Dataset,718 HTA-2,1000.0,834.4852941176471
ASM Dataset,7075 T7352-2,386.0,281.8488372093023
ASM Dataset,C95400 Tempered-1,310.0,343.65425531914894
Magnesium Dataset,am50_2p5_1827,109.0,115.485
Magnesium Dataset,am50_2p5_1809,109.0,108.125
Magnesium Dataset,am70_2p5_f_1595,127.0,125.5625
ASM Dataset,W1 Annealed-2,330.0,360.0875
ASM Dataset,302 Annealed-1,275.0,319.6190476190476
Magnesium Dataset,am60_2p5_1686,120.0,111.41666666666667
ASM Dataset,C95500 as Cast-2,320.0,357.9485294117647
Magnesium Dataset,am50_2p5_1819,109.0,114.23863636363636
ASM Dataset,C61300 M20-1,240.0,376.45238095238096
ASM Dataset,R54810 HT-1,1070.0,798.3203125
Magnesium Dataset,am40_5p0_1693,107.0,111.64189189189189
ASM Dataset,4140 HTQT620-1,889.0,746.4807692307693
Magnesium Dataset,am50_5p0_1792,109.0,104.48780487804878
Magnesium Dataset,am60_5p0_1649,120.0,109.98571428571428
Magnesium Dataset,am60_2p5_1684,120.0,119.45394736842105
Magnesium Dataset,am40_2p5_1757,107.0,106.32222222222222
Magnesium Dataset,am60_2p5_1677,120.0,117.26086956521739
Magnesium Dataset,am40_2p5_1748,107.0,114.41477272727273
Magnesium Dataset,am70_5p0_f_e_1574,127.0,125.2872340425532
Magnesium Dataset,am40_2p5_1724,107.0,107.19642857142857
ASM Dataset,6061 T651-1,276.0,307.1474358974359
Magnesium Dataset,am40_2p5_1746,107.0,113.9
ASM Dataset,430 Annealed-2,260.0,296.1280487804878
Magnesium Dataset,am40_2p5_1745,107.0,110.54166666666667
Magnesium Dataset,am60_5p0_1654,120.0,115.08536585365853
ASM Dataset,C61800-2,310.0,464.9662162162162
ASM Dataset,2618 T4-1,450.0,337.43055555555554
ASM Dataset,R54620 HT-1,895.0,865.2651515151515
ASM Dataset,AZ92A T6-3,140.0,226.56382978723406
ASM Dataset,316 Annealed-1,230.0,248.3
Magnesium Dataset,am50_2p5_1828,109.0,112.91447368421052
ASM Dataset,C11000 M20-2,77.0,179.52777777777777
Magnesium Dataset,am50_2p5_1803,109.0,105.21052631578948
ASM Dataset,8740 Tempered-1,1060.0,840.4277777777778
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,896.0,919.574074074074
ASM Dataset,201 Stainless Steel Annealed-1,301.0,423.2857142857143
Magnesium Dataset,am60_5p0_edge_1627,120.0,115.12142857142857
ASM Dataset,A356-0-1,83.0,82.98584905660377
Magnesium Dataset,am60_2p5_1680,120.0,108.74418604651163
Magnesium Dataset,am60_2p5_1672,120.0,120.0060975609756
ASM Dataset,17-7 PH CH900-1,1793.0,1267.7073170731708
ASM Dataset,201 Stainless Steel Annealed-2,301.0,211.86363636363637
ASM Dataset,C18100 CWA-2,455.0,368.8125
Magnesium Dataset,am50_2p5_1801,109.0,105.46969696969697
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-E,896.0,877.3693181818181
ASM Dataset,356-0-6,100.0,139.23529411764707
ASM Dataset,1050 QT480-1,580.0,642.6666666666666
Magnesium Dataset,am40_2p5_1729,107.0,117.50714285714285
ASM Dataset,520-0-T4-2,152.0,258.33152173913044
ASM Dataset,2219 T6-1,250.0,327.0810810810811
ASM Dataset,N07750 HTA-2,655.0,668.8194444444445
ASM Dataset,C86300-2,460.0,435.671875
ASM Dataset,C85200-3,95.0,120.8076923076923
Magnesium Dataset,am60_5p0_1652,120.0,112.365
Magnesium Dataset,am50_5p0_1799,109.0,107.96341463414635
Magnesium Dataset,am40_5p0_1721,107.0,101.41489361702128
ASM Dataset,C90300-2,125.0,139.05555555555554
ASM Dataset,R50400 A-1,340.0,334.96875
Magnesium Dataset,am40_5p0_1698,107.0,108.19886363636364
ASM Dataset,C26000 A-2,140.0,150.8448275862069
ASM Dataset,4140 HTQT595-1,1025.0,853.3486842105264
Magnesium Dataset,am60_5p0_1641,120.0,111.90441176470588
ASM Dataset,2024 T3-2,290.0,257.10526315789474
ASM Dataset,AZ92A T6-1,140.0,213.25423728813558
ASM Dataset,R58010 ST-1,830.0,439.67391304347825
Magnesium Dataset,am60_5p0_1648,120.0,114.8030303030303
ASM Dataset,C90300-4,125.0,145.546875
ASM Dataset,R54520 A-1,840.0,596.0526315789474
Magnesium Dataset,am70_2p5_f_1613,127.0,125.10326086956522
ASM Dataset,316L Annealed-2,190.0,174.9142857142857
Magnesium Dataset,am60_5p0_edge_1632,120.0,119.70945945945945
ASM Dataset,CA6NM Tempered-3,690.0,624.1554054054054
ASM Dataset,ASTM A572 Grade 65-1,510.0,523.1285714285714
ASM Dataset,2618 T4-3,450.0,584.1802325581396
ASM Dataset,431 Tempered-1,800.0,826.6696428571429
ASM Dataset,Elgiloy A-1,510.0,537.5
ASM Dataset,ASTM A537 Grade A Normalized-3,330.0,362.475
ASM Dataset,B443-0-1,41.4,106.2
ASM Dataset,Class 30 As Cast-5,130.0,425.4418604651163
ASM Dataset,2014-T4-2,290.0,283.0
ASM Dataset,C97800-1,170.0,182.75892857142858
ASM Dataset,N07001 HTA-5,897.0,494.6829268292683
Magnesium Dataset,am70_2p5_f_1602,127.0,135.6875
ASM Dataset,R30075 HIP-1,840.0,786.3011363636364
ASM Dataset,G3000 As Cast-2,150.0,155.0744680851064
Magnesium Dataset,am50_2p5_1829,109.0,105.578125
Magnesium Dataset,am40_2p5_1752,107.0,111.25657894736842
ASM Dataset,4140 Normalized-1,635.0,492.20108695652175
ASM Dataset,EZ33A T5-1,100.0,124.40277777777777
ASM Dataset,15-5 PH STA-1,1069.0,982.4565217391304
Magnesium Dataset,am50_5p0_1789,109.0,109.25490196078431
Magnesium Dataset,am70_5p0_f_e_1583,127.0,138.27564102564102
ASM Dataset,R56400 A2-1,900.0,752.4651162790698
ASM Dataset,C97600-2,140.0,176.82777777777778
Magnesium Dataset,am50_2p5_1825,109.0,107.73255813953489
Magnesium Dataset,am40_5p0_1694,107.0,112.3452380952381
ASM Dataset,AZ63A T6-1,120.0,205.99074074074073
ASM Dataset,A286 STA-1,759.0,569.9112903225806
Magnesium Dataset,am60_2p5_1675,120.0,116.0
ASM Dataset,C11000 A-2,69.0,139.3181818181818
ASM Dataset,308-0-1,110.0,126.859375
ASM Dataset,C61800-1,310.0,683.7727272727273
ASM Dataset,MetalTek C86300-3,415.0,378.1193181818182
Magnesium Dataset,am60_2p5_1690,120.0,113.90625
ASM Dataset,7075 Annealed-2,145.0,275.8693181818182
Magnesium Dataset,am50_2p5_1812,109.0,116.90697674418605
ASM Dataset,17-4 PH HT-1,985.0,857.88125
Magnesium Dataset,am70_2p5_f_1600,127.0,129.4264705882353
Magnesium Dataset,am50_2p5_1821,109.0,119.0375
Magnesium Dataset,am60_2p5_1659,120.0,124.07954545454545
Magnesium Dataset,am50_2p5_1822,109.0,117.55645161290323
Magnesium Dataset,am70_5p0_f_e_1588,127.0,122.01219512195122
ASM Dataset,355-0-T6-1,185.0,213.7445652173913
Magnesium Dataset,am70_2p5_f_1605,127.0,133.28846153846155
Magnesium Dataset,am60_5p0_1638,120.0,110.83035714285714
Magnesium Dataset,am70_5p0_f_e_1582,127.0,127.59146341463415
ASM Dataset,C11000 M20-1,77.0,174.28048780487805
ASM Dataset,R56210 A-1,760.0,713.5
ASM Dataset,222-0-1,140.0,184.859756097561
ASM Dataset,HM21A T8-1,170.0,450.1283783783784
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-2000x,896.0,906.9711538461538
ASM Dataset,CN-7M As Cast-2,275.0,335.86290322580646
Magnesium Dataset,am50_5p0_1772,109.0,109.625
ASM Dataset,C93700-2,115.0,196.6818181818182
ASM Dataset,C95400 as Cast-1,240.0,241.9
