Source,Image Name,Expected,Average Prediction,MAPE,Worst,,,,Best,,,
Magnesium Dataset,am60_2p5_1660,120,119.991666666667,0.006944926731029,718 HTA-4,1000,221.950549450549,350.550810743904,am60_2p5_1660,120,119.991666666667,0.006944926731029
Magnesium Dataset,am60_5p0_edge_1624,120,120.021978021978,0.018311664530312,N07001 HTA-5,897,408.506493506494,119.580352885074,am60_5p0_edge_1624,120,120.021978021978,0.018311664530312
ASM Dataset,356-0-T6-1,152,152.051282051282,0.033726812816184,R58010 ST-1,830,418.827586206897,98.1722377737527,356-0-T6-1,152,152.051282051282,0.033726812816184
ASM Dataset,C26000 A-9,140,140.141176470588,0.100738750839499,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1566,127,127.129746835443,0.10205859656984,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1561,127,127.15,0.117970900511212,,,,,,,,
Magnesium Dataset,am70_2p5_f_1592,127,127.161764705882,0.12721174973979,,,,,,,,
Magnesium Dataset,am50_5p0_1791,109,108.852409638554,0.135587592351749,,,,,,,,
ASM Dataset,409 Annealed-1,200,199.716049382716,0.142177165110959,,,,,,,,
Magnesium Dataset,am40_2p5_1735,107,106.824404761905,0.164377455214111,,,,,,,,
ASM Dataset,7050 T73652-3,455,455.761538461539,0.167091427703422,,,,,,,,
Magnesium Dataset,am40_2p5_1723,107,106.799418604651,0.187811317673314,,,,,,,,
Magnesium Dataset,am60_2p5_1684,120,120.253164556962,0.210526315789469,,,,,,,,
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-250x,896,897.997191011236,0.22240503992968,,,,,,,,
Magnesium Dataset,am50_2p5_1806,109,109.244444444444,0.22375915378356,,,,,,,,
Magnesium Dataset,am50_5p0_1775,109,108.735714285714,0.243053274650205,,,,,,,,
Magnesium Dataset,am40_5p0_1716,107,106.734848484848,0.248420753779545,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1571,127,126.670886075949,0.259818127310881,,,,,,,,
Magnesium Dataset,am70_2p5_f_1603,127,127.360759493671,0.283257963524323,,,,,,,,
Magnesium Dataset,am40_2p5_1734,107,106.670289855072,0.309092761794772,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1589,127,126.60597826087,0.311218904938724,,,,,,,,
Magnesium Dataset,am70_2p5_f_1594,127,127.405844155844,0.318544379602962,,,,,,,,
Magnesium Dataset,am50_5p0_1799,109,108.632530120482,0.338268729551375,,,,,,,,
Magnesium Dataset,am50_2p5_1809,109,108.614942528736,0.354516111963602,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1634,120,120.435567010309,0.361659783004136,,,,,,,,
Magnesium Dataset,am60_2p5_1661,120,120.446428571429,0.370644922164565,,,,,,,,
Magnesium Dataset,am50_5p0_1769,109,108.588461538462,0.378989126199832,,,,,,,,
