Source,Image Name,Expected,Average Prediction
ASM Dataset,CA15 Tempered at 1200F-1,690.0,643.1875
Magnesium Dataset,am60_5p0_edge_1629,120.0,126.5
ASM Dataset,D3 QT-1,1550.0,1604.0
ASM Dataset,R56210 Hrolled-1,760.0,930.125
ASM Dataset,C85700-2,110.0,385.3125
ASM Dataset,301 Sixteenth Hard-1,350.0,438.15
ASM Dataset,3003 Annealed-1,41.0,123.6875
Magnesium Dataset,am60_5p0_1653,120.0,118.4375
ASM Dataset,L-605 ColdW-1,1600.0,1303.2142857142858
ASM Dataset,718 HTA-2,1000.0,806.05
ASM Dataset,7075 T7352-2,386.0,302.75
ASM Dataset,C95400 Tempered-1,310.0,337.6666666666667
Magnesium Dataset,am50_2p5_1827,109.0,121.16666666666667
Magnesium Dataset,am70_2p5_f_1595,127.0,128.9375
ASM Dataset,W1 Annealed-2,330.0,330.3333333333333
ASM Dataset,302 Annealed-1,275.0,323.7083333333333
Magnesium Dataset,am60_2p5_1686,120.0,116.0625
ASM Dataset,C95500 as Cast-2,320.0,327.8
Magnesium Dataset,am50_2p5_1819,109.0,118.875
ASM Dataset,C61300 M20-1,240.0,588.1428571428571
ASM Dataset,R54810 HT-1,1070.0,735.75
Magnesium Dataset,am40_5p0_1693,107.0,114.75
ASM Dataset,4140 HTQT620-1,889.0,776.4
Magnesium Dataset,am50_5p0_1792,109.0,103.9375
Magnesium Dataset,am60_5p0_1649,120.0,116.58333333333333
Magnesium Dataset,am60_2p5_1684,120.0,125.5625
Magnesium Dataset,am40_2p5_1757,107.0,111.08333333333333
Magnesium Dataset,am60_2p5_1677,120.0,118.375
Magnesium Dataset,am40_2p5_1748,107.0,116.5
Magnesium Dataset,am70_5p0_f_e_1574,127.0,127.75
Magnesium Dataset,am40_2p5_1724,107.0,126.3
ASM Dataset,6061 T651-1,276.0,305.8333333333333
Magnesium Dataset,am40_2p5_1746,107.0,112.95
ASM Dataset,430 Annealed-2,260.0,324.0
Magnesium Dataset,am40_2p5_1745,107.0,116.0
Magnesium Dataset,am60_5p0_1654,120.0,120.125
ASM Dataset,C61800-2,310.0,556.5
ASM Dataset,316 Annealed-1,230.0,303.9375
ASM Dataset,R54620 HT-1,895.0,1085.6875
ASM Dataset,2618 T4-1,450.0,355.95
ASM Dataset,AZ92A T6-3,140.0,248.21428571428572
Magnesium Dataset,am50_2p5_1828,109.0,111.70833333333333
ASM Dataset,C11000 M20-2,77.0,177.46428571428572
Magnesium Dataset,am50_2p5_1803,109.0,106.20833333333333
ASM Dataset,8740 Tempered-1,1060.0,801.6071428571429
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,896.0,1004.875
Magnesium Dataset,am60_5p0_edge_1627,120.0,121.5
ASM Dataset,A356-0-1,83.0,84.05
Magnesium Dataset,am60_2p5_1680,120.0,117.16666666666667
Magnesium Dataset,am60_2p5_1672,120.0,129.33333333333334
ASM Dataset,17-7 PH CH900-1,1793.0,1159.75
ASM Dataset,201 Stainless Steel Annealed-2,301.0,265.39285714285717
Magnesium Dataset,am50_2p5_1801,109.0,109.625
ASM Dataset,C18100 CWA-2,455.0,370.0
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-E,896.0,893.1666666666666
ASM Dataset,356-0-6,100.0,106.0
ASM Dataset,1050 QT480-1,580.0,742.0
Magnesium Dataset,am40_2p5_1729,107.0,117.0625
ASM Dataset,520-0-T4-2,152.0,359.3125
ASM Dataset,2219 T6-1,250.0,280.4
ASM Dataset,N07750 HTA-2,655.0,708.1666666666666
ASM Dataset,C86300-2,460.0,421.75
ASM Dataset,C85200-3,95.0,144.28571428571428
Magnesium Dataset,am60_5p0_1652,120.0,119.46875
Magnesium Dataset,am40_5p0_1721,107.0,104.85
Magnesium Dataset,am50_5p0_1799,109.0,108.25
ASM Dataset,C90300-2,125.0,154.25
ASM Dataset,R50400 A-1,340.0,355.9166666666667
Magnesium Dataset,am40_5p0_1698,107.0,113.33333333333333
ASM Dataset,C26000 A-2,140.0,156.125
ASM Dataset,4140 HTQT595-1,1025.0,842.3333333333334
Magnesium Dataset,am60_5p0_1641,120.0,123.58333333333333
ASM Dataset,2024 T3-2,290.0,288.0416666666667
ASM Dataset,AZ92A T6-1,140.0,209.75
ASM Dataset,R58010 ST-1,830.0,572.75
Magnesium Dataset,am60_5p0_1648,120.0,116.95833333333333
ASM Dataset,C90300-4,125.0,147.4
ASM Dataset,R54520 A-1,840.0,509.3333333333333
Magnesium Dataset,am70_2p5_f_1613,127.0,124.8
ASM Dataset,316L Annealed-2,190.0,167.54166666666666
Magnesium Dataset,am60_5p0_edge_1632,120.0,123.25
ASM Dataset,CA6NM Tempered-3,690.0,660.8333333333334
ASM Dataset,ASTM A572 Grade 65-1,510.0,633.5833333333334
ASM Dataset,2618 T4-3,450.0,453.1875
ASM Dataset,431 Tempered-1,800.0,898.0
ASM Dataset,ASTM A537 Grade A Normalized-3,330.0,347.625
ASM Dataset,Elgiloy A-1,510.0,464.72222222222223
ASM Dataset,B443-0-1,41.4,153.25
ASM Dataset,2014-T4-2,290.0,338.625
ASM Dataset,Class 30 As Cast-5,130.0,292.5833333333333
ASM Dataset,C97800-1,170.0,185.28571428571428
Magnesium Dataset,am70_2p5_f_1602,127.0,133.83333333333334
ASM Dataset,N07001 HTA-5,897.0,495.25
ASM Dataset,R30075 HIP-1,840.0,702.0
ASM Dataset,G3000 As Cast-2,150.0,149.625
Magnesium Dataset,am50_2p5_1829,109.0,113.75
Magnesium Dataset,am40_2p5_1752,107.0,109.25
ASM Dataset,4140 Normalized-1,635.0,619.3333333333334
ASM Dataset,15-5 PH STA-1,1069.0,1049.45
ASM Dataset,EZ33A T5-1,100.0,132.3125
Magnesium Dataset,am50_5p0_1789,109.0,119.4375
Magnesium Dataset,am70_5p0_f_e_1583,127.0,130.25
ASM Dataset,R56400 A2-1,900.0,724.9375
ASM Dataset,C97600-2,140.0,155.5
Magnesium Dataset,am50_2p5_1825,109.0,109.25
Magnesium Dataset,am40_5p0_1694,107.0,112.4375
ASM Dataset,AZ63A T6-1,120.0,223.6875
ASM Dataset,A286 STA-1,759.0,537.25
Magnesium Dataset,am60_2p5_1675,120.0,121.0
ASM Dataset,C11000 A-2,69.0,128.9
ASM Dataset,308-0-1,110.0,130.04166666666666
ASM Dataset,C61800-1,310.0,715.75
ASM Dataset,7075 Annealed-2,145.0,305.0
Magnesium Dataset,am60_2p5_1690,120.0,114.91666666666667
ASM Dataset,MetalTek C86300-3,415.0,390.5
Magnesium Dataset,am50_2p5_1812,109.0,116.75
ASM Dataset,17-4 PH HT-1,985.0,870.75
Magnesium Dataset,am70_2p5_f_1600,127.0,127.0
Magnesium Dataset,am60_2p5_1659,120.0,130.45
Magnesium Dataset,am50_2p5_1821,109.0,121.0
Magnesium Dataset,am50_2p5_1822,109.0,109.05
Magnesium Dataset,am70_5p0_f_e_1588,127.0,124.75
ASM Dataset,355-0-T6-1,185.0,240.15625
Magnesium Dataset,am70_2p5_f_1605,127.0,132.3
Magnesium Dataset,am60_5p0_1638,120.0,114.0
Magnesium Dataset,am70_5p0_f_e_1582,127.0,131.5
ASM Dataset,C11000 M20-1,77.0,161.875
ASM Dataset,R56210 A-1,760.0,779.2916666666666
ASM Dataset,222-0-1,140.0,228.08333333333334
ASM Dataset,HM21A T8-1,170.0,369.8333333333333
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-2000x,896.0,897.6875
ASM Dataset,CN-7M As Cast-2,275.0,371.7
Magnesium Dataset,am50_5p0_1772,109.0,104.8125
ASM Dataset,C95400 as Cast-1,240.0,208.875
ASM Dataset,C93700-2,115.0,242.75
ASM Dataset,ASTM A517 Grade B QT-2,655.0,545.3333333333334
ASM Dataset,7050 T73652-3,455.0,447.75
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-1000x,896.0,1090.0
Magnesium Dataset,am50_2p5_1830,109.0,117.33333333333333
Magnesium Dataset,am70_5p0_f_1557,127.0,127.16666666666667
ASM Dataset,R58640 STA-1,1120.0,847.4375
Magnesium Dataset,am40_2p5_1727,107.0,125.5
Magnesium Dataset,am40_2p5_1761,107.0,107.65625
ASM Dataset,C93700-1,115.0,226.3
ASM Dataset,ASTM A216 WCB Normalized-1,280.0,251.625
Magnesium Dataset,am50_5p0_1787,109.0,103.08333333333333
ASM Dataset,ASTM A562 A-1,205.0,307.0
