Source,Image Name,Expected,Average Prediction
Magnesium Dataset,am50_5p0_1791,109.0,109.54166666666667
Magnesium Dataset,am60_2p5_1676,120.0,106.45
Magnesium Dataset,am60_5p0_edge_1629,120.0,119.89285714285714
Magnesium Dataset,am40_2p5_1758,107.0,107.5
Magnesium Dataset,am40_2p5_1736,107.0,118.1
Magnesium Dataset,am70_5p0_f_e_1579,127.0,125.25
Magnesium Dataset,am60_5p0_1645,120.0,121.08333333333333
Magnesium Dataset,am60_5p0_edge_1634,120.0,119.91666666666667
Magnesium Dataset,am60_5p0_1653,120.0,116.78571428571429
Magnesium Dataset,am40_2p5_1753,107.0,117.41666666666667
Magnesium Dataset,am40_2p5_1768,107.0,109.125
Magnesium Dataset,am60_2p5_1674,120.0,117.65
Magnesium Dataset,am60_5p0_1651,120.0,115.125
Magnesium Dataset,am50_5p0_1776,109.0,103.5
Magnesium Dataset,am60_5p0_edge_1624,120.0,122.75
Magnesium Dataset,am70_5p0_f_e_1564,127.0,134.91666666666666
Magnesium Dataset,am50_5p0_1800,109.0,109.1875
Magnesium Dataset,am50_2p5_1820,109.0,108.65
Magnesium Dataset,am70_5p0_f_e_1589,127.0,129.10714285714286
Magnesium Dataset,am50_5p0_1784,109.0,104.75
Magnesium Dataset,am60_5p0_edge_1623,120.0,127.0
Magnesium Dataset,am50_5p0_1771,109.0,104.75
Magnesium Dataset,am50_2p5_1827,109.0,105.875
Magnesium Dataset,am50_2p5_1809,109.0,111.58333333333333
Magnesium Dataset,am50_5p0_1775,109.0,116.75
Magnesium Dataset,am70_5p0_f_e_1566,127.0,119.85
Magnesium Dataset,am70_2p5_f_1595,127.0,123.16666666666667
Magnesium Dataset,am60_2p5_1663,120.0,116.875
Magnesium Dataset,am40_2p5_1734,107.0,103.625
Magnesium Dataset,am40_5p0_1716,107.0,97.91666666666667
Magnesium Dataset,am70_2p5_f_1604,127.0,123.875
Magnesium Dataset,am40_2p5_1751,107.0,110.375
Magnesium Dataset,am70_5p0_f_e_1569,127.0,131.3125
Magnesium Dataset,am60_2p5_1686,120.0,109.75
Magnesium Dataset,am50_2p5_1817,109.0,112.25
Magnesium Dataset,am60_5p0_1642,120.0,121.9
Magnesium Dataset,am50_2p5_1818,109.0,112.0
Magnesium Dataset,am50_2p5_1819,109.0,110.3125
Magnesium Dataset,am40_2p5_1750,107.0,116.0
Magnesium Dataset,am40_2p5_1733,107.0,110.85714285714286
Magnesium Dataset,am40_2p5_1738,107.0,117.0
Magnesium Dataset,am70_5p0_f_1554,127.0,135.0625
Magnesium Dataset,am40_5p0_1693,107.0,107.75
Magnesium Dataset,am60_5p0_edge_1630,120.0,126.125
Magnesium Dataset,am40_5p0_1697,107.0,105.625
Magnesium Dataset,am50_5p0_1792,109.0,104.2
Magnesium Dataset,am40_2p5_1757,107.0,108.25
Magnesium Dataset,am60_5p0_1649,120.0,114.9375
