Source,Image Name,Expected,Average Prediction
ASM Dataset,CA15 Tempered at 1200F-1,690.0,524.5
Magnesium Dataset,am60_5p0_edge_1629,120.0,117.875
ASM Dataset,D3 QT-1,1550.0,1570.0833333333333
ASM Dataset,R56210 Hrolled-1,760.0,860.875
ASM Dataset,C85700-2,110.0,371.875
ASM Dataset,301 Sixteenth Hard-1,350.0,409.1666666666667
ASM Dataset,3003 Annealed-1,41.0,124.91666666666667
Magnesium Dataset,am60_5p0_1653,120.0,117.125
ASM Dataset,L-605 ColdW-1,1600.0,920.6666666666666
ASM Dataset,718 HTA-2,1000.0,829.3125
ASM Dataset,7075 T7352-2,386.0,320.625
ASM Dataset,C95400 Tempered-1,310.0,394.0
Magnesium Dataset,am50_2p5_1809,109.0,105.05
Magnesium Dataset,am70_2p5_f_1595,127.0,129.25
ASM Dataset,W1 Annealed-2,330.0,257.125
ASM Dataset,302 Annealed-1,275.0,322.6666666666667
Magnesium Dataset,am60_2p5_1686,120.0,109.375
ASM Dataset,C95500 as Cast-2,320.0,341.4166666666667
Magnesium Dataset,am50_2p5_1819,109.0,113.32142857142857
ASM Dataset,C61300 M20-1,240.0,326.9
ASM Dataset,R54810 HT-1,1070.0,804.25
Magnesium Dataset,am40_5p0_1693,107.0,106.5
ASM Dataset,4140 HTQT620-1,889.0,667.65
Magnesium Dataset,am50_5p0_1792,109.0,106.25
Magnesium Dataset,am40_2p5_1757,107.0,108.4375
Magnesium Dataset,am60_5p0_1649,120.0,107.57142857142857
Magnesium Dataset,am60_2p5_1684,120.0,117.75
Magnesium Dataset,am60_2p5_1677,120.0,125.125
Magnesium Dataset,am40_2p5_1748,107.0,108.625
Magnesium Dataset,am70_5p0_f_e_1574,127.0,122.46428571428571
Magnesium Dataset,am40_2p5_1724,107.0,102.25
ASM Dataset,6061 T651-1,276.0,308.8
Magnesium Dataset,am40_2p5_1746,107.0,113.625
ASM Dataset,430 Annealed-2,260.0,252.125
Magnesium Dataset,am40_2p5_1745,107.0,110.83333333333333
Magnesium Dataset,am60_5p0_1654,120.0,121.25
ASM Dataset,C61800-2,310.0,632.25
ASM Dataset,2618 T4-1,450.0,266.0416666666667
ASM Dataset,316 Annealed-1,230.0,271.6
ASM Dataset,AZ92A T6-3,140.0,191.5
ASM Dataset,R54620 HT-1,895.0,1190.75
Magnesium Dataset,am50_2p5_1828,109.0,111.55
ASM Dataset,C11000 M20-2,77.0,198.1875
Magnesium Dataset,am50_2p5_1803,109.0,103.875
ASM Dataset,8740 Tempered-1,1060.0,800.5833333333334
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,896.0,968.625
ASM Dataset,201 Stainless Steel Annealed-1,301.0,551.125
Magnesium Dataset,am60_5p0_edge_1627,120.0,115.125
