Source,Alloy Name,Expected,Average Prediction
ASM Dataset,2024 T3,290.0,252.2173913043478
ASM Dataset,301 Quarter Hard,590.0,960.625
ASM Dataset,C28000 M20,150.0,171.25
ASM Dataset,8620 Normalized,360.0,469.60714285714283
ASM Dataset,8617 A,320.0,259.0
ASM Dataset,CK-20 As Cast,195.0,322.6875
ASM Dataset,301 Sixteenth Hard,350.0,442.03125
ASM Dataset,N13100,655.0,694.3214285714286
ASM Dataset,ASTM A 542 class 2 QT,690.0,511.34615384615387
ASM Dataset,ZK60A F,230.0,308.125
ASM Dataset,ASTM A890 5A As Cast,515.0,321.17857142857144
ASM Dataset,C85200,95.0,237.625
ASM Dataset,AL-6XN,370.0,175.9375
ASM Dataset,1015 Normalized,325.0,302.25
ASM Dataset,302 Annealed,275.0,279.3125
ASM Dataset,R50700 A,590.0,496.82142857142856
ASM Dataset,C443.0,100.0,141.875
ASM Dataset,C11000 A,69.0,140.67857142857142
ASM Dataset,ZK51A T5,150.0,209.91666666666666
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Ti-6Al-2Sn-4Zr-2Mo-0.1Si,896.0,877.3409090909091
ASM Dataset,C51000 A,130.0,174.3125
ASM Dataset,C95500 as Cast,320.0,377.25
ASM Dataset,R56210 A,760.0,622.5833333333334
ASM Dataset,1020 Hot Rolled,205.0,272.25
ASM Dataset,356.0 T51,110.0,125.75
ASM Dataset,ASTM A216 WCA Annealed,230.0,204.33333333333334
ASM Dataset,D3 QT,1550.0,1398.9375
ASM Dataset,ASTM A516 Grade 70,260.0,324.4166666666667
ASM Dataset,520.0 T4,152.0,244.5
ASM Dataset,6151 T6,295.0,263.0625
ASM Dataset,R56400 STA,1100.0,881.25
ASM Dataset,413,130.0,197.25
ASM Dataset,356.0 T6,152.0,178.22727272727272
ASM Dataset,304 Quarter Hard,515.0,482.8333333333333
ASM Dataset,238,210.0,166.625
ASM Dataset,MP35N ColdW,1413.0,1185.5833333333333
ASM Dataset,HK31A T6,105.0,141.89285714285714
ASM Dataset,440B Tempered,1860.0,1528.1875
ASM Dataset,ASTM A36 As Rolled,250.0,235.25
ASM Dataset,Ti Grade 7 (CP) A,340.0,353.9318181818182
ASM Dataset,330 Annealed,290.0,299.6875
ASM Dataset,2219 T6,250.0,295.05
ASM Dataset,MetalTek C86300,415.0,364.6190476190476
ASM Dataset,8740 Tempered,1060.0,882.0
ASM Dataset,Discaloy STA,730.0,474.375
ASM Dataset,201.0-T7,400.0,301.35
ASM Dataset,440C Annealed,450.0,618.125
ASM Dataset,NearTi-17 HT,1014.0,778.375
ASM Dataset,1117 Normalized,305.0,234.67857142857142
ASM Dataset,C70600 A,100.0,172.64285714285714
ASM Dataset,HM21A T5,150.0,250.08333333333334
ASM Dataset,CA-6NM As Cast,550.0,775.75
ASM Dataset,7075 T7352,386.0,277.5416666666667
ASM Dataset,C11000 M20,77.0,154.60227272727272
ASM Dataset,17-7 PH Annealed,430.0,473.05
ASM Dataset,R58010 STA,1100.0,547.95
ASM Dataset,R56260 A,1020.0,899.25
ASM Dataset,2218 T61,305.0,275.6666666666667
ASM Dataset,1100 Annealed,34.5,316.4166666666667
ASM Dataset,PH 13-8 Mo HTA,1379.0,724.5
ASM Dataset,319,96.5,392.5
ASM Dataset,N07750 HTA,655.0,603.875
ASM Dataset,4140 Normalized,635.0,403.8
ASM Dataset,431 Annealed,655.0,661.85
ASM Dataset,A286 STA,759.0,504.375
ASM Dataset,F33100 As Cast,310.0,292.6666666666667
ASM Dataset,C97600,140.0,156.9431818181818
ASM Dataset,A10 Annealed,470.0,414.25
ASM Dataset,304 Annealed,230.0,210.5625
ASM Dataset,C63200 TQ50,350.0,393.7857142857143
ASM Dataset,C14200 H55,230.0,210.375
ASM Dataset,C93200,130.0,194.13636363636363
ASM Dataset,2014 T4,290.0,280.78125
ASM Dataset,2024 T851,400.0,311.92857142857144
ASM Dataset,ASTM A537 Grade A Normalized,330.0,323.40625
ASM Dataset,C17510 AT,630.0,375.75
ASM Dataset,O6 Annealed,410.0,277.7857142857143
ASM Dataset,AZ92A T6,140.0,219.72727272727272
ASM Dataset,410 Tempered at 453c,920.0,985.75
ASM Dataset,2024 Annealed,95.0,149.2
ASM Dataset,718 ColdWA,1455.0,1192.7
ASM Dataset,AZ91C T6,130.0,337.25
ASM Dataset,R50250 A,240.0,319.6666666666667
ASM Dataset,Muntz Metal,110.0,147.95
ASM Dataset,C10200 A,90.0,198.375
ASM Dataset,15-5 PH STA,1069.0,908.75
ASM Dataset,ASTM 897M 850-550-10 As Cast,758.0,598.4166666666666
ASM Dataset,QE22A T6,190.0,227.61111111111111
ASM Dataset,C12500 M20,75.0,279.75
ASM Dataset,CA6NM Tempered,690.0,593.5192307692307
ASM Dataset,AZ63A T6,120.0,212.16666666666666
ASM Dataset,4140 HTQT620,889.0,773.125
ASM Dataset,ASTM A572 Grade 55,380.0,557.0
ASM Dataset,17-4 PH HT,985.0,918.625
ASM Dataset,431 Tempered,800.0,967.4166666666666
ASM Dataset,N07001 Aged,850.0,413.10714285714283
ASM Dataset,5086 H34,255.0,323.375
ASM Dataset,C18100 CWA,455.0,358.7083333333333
ASM Dataset,ZK60A T5 Forged,215.0,205.41666666666666
ASM Dataset,HZ32A T5,90.0,165.25
ASM Dataset,C17510 A,120.0,286.4583333333333
ASM Dataset,A357.0 T61,250.0,291.64285714285717
ASM Dataset,ASTM A537 Grade B QT,415.0,496.15384615384613
ASM Dataset,443,48.29999999999999,127.25
ASM Dataset,ASTM A27 As Cast,230.0,172.375
ASM Dataset,C95500,395.0,537.8125
ASM Dataset,C85700,110.0,314.40625
ASM Dataset,C61800,310.0,531.9404761904761
ASM Dataset,CA15 Tempered at 1200F,690.0,624.94
ASM Dataset,316 Annealed,230.0,291.7608695652174
ASM Dataset,ZH62A T5,170.0,209.66666666666666
ASM Dataset,ASTM A216 WCB Annealed,280.0,246.25
ASM Dataset,R56400 A,830.0,814.65625
ASM Dataset,R58640 STA,1120.0,833.6
ASM Dataset,L-605 ColdW,1600.0,919.95
Magnesium Dataset,AM50,109.0,109.0748987854251
ASM Dataset,Ti-10-2-3 Sample 4,1169.0,969.3928571428571
ASM Dataset,SAF 2205 Annealed,500.0,451.5833333333333
ASM Dataset,ASTM A106 grade B,240.0,305.125
ASM Dataset,409 Annealed,200.0,205.25
ASM Dataset,A356.0,83.0,75.475
ASM Dataset,R30155 STQ,384.0,353.10714285714283
ASM Dataset,201 Stainless Steel Annealed,301.0,256.40625
ASM Dataset,AZ63A T4,85.0,143.90625
ASM Dataset,B443.0,41.4,119.0
ASM Dataset,C35000,90.0,225.65625
ASM Dataset,ASTM A562 A,205.0,337.8958333333333
ASM Dataset,ASTM A216 WCB Normalized,280.0,250.025
ASM Dataset,CA15 As Cast,450.0,449.78125
ASM Dataset,R56400 A1,805.0,784.1875
ASM Dataset,HM21A T8,170.0,478.5833333333333
ASM Dataset,R54520 A,840.0,622.875
ASM Dataset,4118 QT,620.0,437.5
ASM Dataset,C61300 M20,240.0,322.8888888888889
ASM Dataset,ASTM A27 Annealed,205.0,217.39285714285714
ASM Dataset,222,140.0,181.6875
ASM Dataset,R54620,910.0,841.8928571428571
ASM Dataset,R50400 A,340.0,372.25
ASM Dataset,9310 Normalized,570.0,688.0833333333334
ASM Dataset,355.0 T6,185.0,167.4
ASM Dataset,309 Annealed,275.0,306.4166666666667
ASM Dataset,242,120.0,138.25
ASM Dataset,5160 QT,1005.0,775.25
ASM Dataset,2618 T4,450.0,406.92105263157896
ASM Dataset,N30002,275.0,205.45833333333334
ASM Dataset,R56320 A,550.0,382.375
ASM Dataset,N07001 HTA,897.0,641.6304347826087
ASM Dataset,ASTM A515 Grade 70,265.0,380.75
ASM Dataset,Ti-10-2-3 Sample 2,1195.0,934.3333333333334
ASM Dataset,410 Annealed,290.0,725.5
ASM Dataset,EZ33A T5,100.0,162.75
ASM Dataset,CN-7M As Cast,275.0,336.0833333333333
ASM Dataset,6061 T651,276.0,292.0625
ASM Dataset,AZ91A F,160.0,311.5
ASM Dataset,R54620 HT,895.0,951.0
ASM Dataset,440C Temper 2,1865.0,844.15
Magnesium Dataset,AM60,120.0,115.77545454545455
ASM Dataset,R56400 A2,900.0,785.7083333333334
ASM Dataset,J92500,205.0,161.75
ASM Dataset,ASTM A148 Normalized,460.0,378.625
ASM Dataset,3003 Annealed,41.0,173.125
ASM Dataset,ZK60A T5,230.0,227.41666666666666
ASM Dataset,HM31A T5,270.0,575.25
ASM Dataset,J92701,280.0,207.625
ASM Dataset,1050 QT595,543.0,576.1071428571429
ASM Dataset,TRIP 780 Cold Rolled,500.0,449.4166666666667
ASM Dataset,ASTM 897M 1400-1100-01 As Cast,1240.0,1004.8125
ASM Dataset,C90300,125.0,179.15384615384616
ASM Dataset,718 HTA,1000.0,697.6625
ASM Dataset,Elgiloy ColdW,1310.0,822.03125
ASM Dataset,C86300,460.0,441.5514705882353
ASM Dataset,5083 H112,190.0,239.63888888888889
ASM Dataset,G3000 As Cast,150.0,203.0
ASM Dataset,C95400 Tempered,310.0,408.7142857142857
ASM Dataset,Ti-10-2-3 Sample 1,1207.0,1190.125
ASM Dataset,ASTM A517 Grade B QT,655.0,728.875
Magnesium Dataset,AM40,107.0,110.44477911646587
ASM Dataset,ASTM A285 Grade C,205.0,208.125
ASM Dataset,430 Annealed,260.0,273.95454545454544
ASM Dataset,AZ80A T5,230.0,251.5
ASM Dataset,Class 30 As Cast,130.0,262.8790322580645
ASM Dataset,C90700,150.0,360.9166666666667
ASM Dataset,R58010 ST,830.0,495.375
ASM Dataset,7075 Annealed,145.0,229.11363636363637
ASM Dataset,F33800 As Cast,410.0,284.55555555555554
ASM Dataset,5657 Annealed,40.0,105.25
ASM Dataset,2024 T6,345.0,381.975
ASM Dataset,5457 Annealed,48.0,76.46875
Magnesium Dataset,AM70,127.0,126.57261029411765
ASM Dataset,8740 Annealed,380.0,398.75
ASM Dataset,Elgiloy A,510.0,589.0
ASM Dataset,C95400 as Cast,240.0,234.1875
ASM Dataset,4130 A Furnace Cooled,460.0,503.4166666666667
ASM Dataset,R56401 A,790.0,547.375
ASM Dataset,4140 A Furnace Cooled,415.0,486.8333333333333
ASM Dataset,C93700,115.0,134.5
ASM Dataset,440A Tempered,1650.0,1436.1875
ASM Dataset,301 Full Hard,1080.0,891.6875
ASM Dataset,316L Annealed,190.0,273.60526315789474
ASM Dataset,1015 Cold Drawn,325.0,395.3888888888889
ASM Dataset,C97800,170.0,179.75
ASM Dataset,2014 T6,483.0,366.79545454545456
ASM Dataset,R56210 Hrolled,760.0,853.6666666666666
ASM Dataset,5456 Annealed,159.0,236.0
ASM Dataset,R56400 Plate A,828.0,828.84375
ASM Dataset,Ti-10-2-3 Sample 3,1191.0,1121.375
ASM Dataset,440A Annealed,448.0,512.725
ASM Dataset,C83600,95.0,155.41666666666666
ASM Dataset,N07713,690.0,402.75
ASM Dataset,17-7 PH CH900,1793.0,1266.125
ASM Dataset,ASTM A572 Grade 65,510.0,505.4375
ASM Dataset,308,110.0,146.8125
ASM Dataset,ASTM 897M 1200-850-04 As Cast,1100.0,734.4166666666666
ASM Dataset,R30075 HIP,840.0,877.125
ASM Dataset,319.0 Solution aged,185.0,273.0
ASM Dataset,440C Temper 1,1900.0,1692.375
ASM Dataset,356,100.0,165.77777777777777
ASM Dataset,7050 T73652,455.0,454.7857142857143
ASM Dataset,17-7 PH TH1050,1276.0,972.75
ASM Dataset,4130 Normalized,435.0,348.125
ASM Dataset,R54810 HT,1070.0,918.2083333333334
ASM Dataset,1050 QT480,580.0,638.3181818181819
ASM Dataset,1060 Hot Rolled,400.0,392.5
ASM Dataset,W1 Annealed,330.0,345.8888888888889
ASM Dataset,4140 HTQT595,1025.0,825.75
ASM Dataset,C26000 A,140.0,153.70833333333334
ASM Dataset,R56400 Forging A,860.0,668.1875
