Image,Expected,Predicted,Subset
am50_5p0_1772cQ1R1.png,109.0,97,Test
am50_5p0_1772cQ1R2.png,109.0,113,Test
am50_5p0_1772cQ1R3.png,109.0,109,Test
am50_5p0_1772cQ1R4.png,109.0,96,Test
am50_2p5_1802cQ1R1.png,109.0,93,Test
am50_2p5_1802cQ1R2.png,109.0,112,Test
am50_2p5_1802cQ1R3.png,109.0,102,Test
am50_2p5_1802cQ1R4.png,109.0,105,Test
am50_2p5_1820cQ2R1.png,109.0,133,Test
am50_2p5_1820cQ2R2.png,109.0,121,Test
am50_2p5_1820cQ2R3.png,109.0,121,Test
am50_2p5_1820cQ2R4.png,109.0,135,Test
am50_2p5_1816cQ4R1.png,109.0,122,Test
am50_2p5_1816cQ4R2.png,109.0,140,Test
am50_2p5_1816cQ4R3.png,109.0,126,Test
am50_2p5_1816cQ4R4.png,109.0,119,Test
am50_5p0_1792cQ2R1.png,109.0,120,Test
am50_5p0_1792cQ2R2.png,109.0,120,Test
am50_5p0_1792cQ2R3.png,109.0,125,Test
am50_5p0_1792cQ2R4.png,109.0,116,Test
am50_5p0_1770cQ1R1.png,109.0,130,Test
am50_5p0_1770cQ1R2.png,109.0,110,Test
am50_5p0_1770cQ1R3.png,109.0,102,Test
am50_5p0_1770cQ1R4.png,109.0,121,Test
am50_2p5_1825cQ3R1.png,109.0,110,Test
am50_2p5_1825cQ3R2.png,109.0,112,Test
am50_2p5_1825cQ3R3.png,109.0,108,Test
am50_2p5_1825cQ3R4.png,109.0,126,Test
am50_2p5_1825cQ4R1.png,109.0,124,Test
am50_2p5_1825cQ4R2.png,109.0,116,Test
am50_2p5_1825cQ4R3.png,109.0,115,Test
am50_2p5_1825cQ4R4.png,109.0,130,Test
am50_2p5_1804cQ1R1.png,109.0,120,Test
am50_2p5_1804cQ1R2.png,109.0,105,Test
am50_2p5_1804cQ1R3.png,109.0,110,Test
am50_2p5_1804cQ1R4.png,109.0,119,Test
am50_2p5_1804cQ3R1.png,109.0,111,Test
am50_2p5_1804cQ3R2.png,109.0,129,Test
am50_2p5_1804cQ3R3.png,109.0,127,Test
am50_2p5_1804cQ3R4.png,109.0,116,Test
am50_2p5_1801cQ1R1.png,109.0,125,Test
am50_2p5_1801cQ1R2.png,109.0,118,Test
am50_2p5_1801cQ1R3.png,109.0,117,Test
am50_2p5_1801cQ1R4.png,109.0,120,Test
am50_2p5_1801cQ2R1.png,109.0,109,Test
am50_2p5_1801cQ2R2.png,109.0,109,Test
am50_2p5_1801cQ2R3.png,109.0,113,Test
am50_2p5_1801cQ2R4.png,109.0,124,Test
am50_5p0_1775cQ1R1.png,109.0,112,Test
am50_5p0_1775cQ1R2.png,109.0,118,Test
am50_5p0_1775cQ1R3.png,109.0,107,Test
am50_5p0_1775cQ1R4.png,109.0,118,Test
am50_2p5_1817cQ2R1.png,109.0,125,Test
am50_2p5_1817cQ2R2.png,109.0,118,Test
am50_2p5_1817cQ2R3.png,109.0,111,Test
am50_2p5_1817cQ2R4.png,109.0,115,Test
am50_5p0_1787cQ2R1.png,109.0,116,Test
am50_5p0_1787cQ2R2.png,109.0,116,Test
am50_5p0_1787cQ2R3.png,109.0,121,Test
am50_5p0_1787cQ2R4.png,109.0,115,Test
am50_5p0_1793cQ2R1.png,109.0,99,Test
am50_5p0_1793cQ2R2.png,109.0,117,Test
am50_5p0_1793cQ2R3.png,109.0,114,Test
am50_5p0_1793cQ2R4.png,109.0,105,Test
am50_5p0_1793cQ3R1.png,109.0,93,Test
am50_5p0_1793cQ3R2.png,109.0,112,Test
am50_5p0_1793cQ3R3.png,109.0,108,Test
am50_5p0_1793cQ3R4.png,109.0,119,Test
am50_2p5_1806cQ3R1.png,109.0,113,Test
am50_2p5_1806cQ3R2.png,109.0,108,Test
am50_2p5_1806cQ3R3.png,109.0,127,Test
am50_2p5_1806cQ3R4.png,109.0,125,Test
am50_2p5_1806cQ4R1.png,109.0,119,Test
am50_2p5_1806cQ4R2.png,109.0,137,Test
am50_2p5_1806cQ4R3.png,109.0,121,Test
am50_2p5_1806cQ4R4.png,109.0,118,Test
am50_2p5_1821cQ2R1.png,109.0,118,Test
am50_2p5_1821cQ2R2.png,109.0,123,Test
am50_2p5_1821cQ2R3.png,109.0,109,Test
am50_2p5_1821cQ2R4.png,109.0,109,Test
am50_2p5_1821cQ3R1.png,109.0,165,Test
am50_2p5_1821cQ3R2.png,109.0,139,Test
am50_2p5_1821cQ3R3.png,109.0,141,Test
am50_2p5_1821cQ3R4.png,109.0,162,Test
am50_2p5_1810cQ2R1.png,109.0,122,Test
am50_2p5_1810cQ2R2.png,109.0,117,Test
am50_2p5_1810cQ2R3.png,109.0,107,Test
am50_2p5_1810cQ2R4.png,109.0,123,Test
am50_2p5_1810cQ3R1.png,109.0,117,Test
am50_2p5_1810cQ3R2.png,109.0,133,Test
am50_2p5_1810cQ3R3.png,109.0,116,Test
am50_2p5_1810cQ3R4.png,109.0,112,Test
am50_5p0_1786cQ3R1.png,109.0,116,Test
am50_5p0_1786cQ3R2.png,109.0,125,Test
am50_5p0_1786cQ3R3.png,109.0,103,Test
am50_5p0_1786cQ3R4.png,109.0,106,Test
am50_5p0_1773cQ4R1.png,109.0,107,Test
