Image,Expected,Predicted,Subset
am50_5p0_1771cQ2R1.png,109.0,80,Test
am50_5p0_1771cQ2R2.png,109.0,84,Test
am50_5p0_1771cQ2R3.png,109.0,106,Test
am50_5p0_1771cQ2R4.png,109.0,109,Test
am50_2p5_1820cQ2R1.png,109.0,101,Test
am50_2p5_1820cQ2R2.png,109.0,101,Test
am50_2p5_1820cQ2R3.png,109.0,102,Test
am50_2p5_1820cQ2R4.png,109.0,119,Test
am50_5p0_1792cQ2R1.png,109.0,114,Test
am50_5p0_1792cQ2R2.png,109.0,118,Test
am50_5p0_1792cQ2R3.png,109.0,112,Test
am50_5p0_1792cQ2R4.png,109.0,118,Test
am50_5p0_1796cQ2R1.png,109.0,106,Test
am50_5p0_1796cQ2R2.png,109.0,136,Test
am50_5p0_1796cQ2R3.png,109.0,119,Test
am50_5p0_1796cQ2R4.png,109.0,117,Test
am50_2p5_1825cQ3R1.png,109.0,113,Test
am50_2p5_1825cQ3R2.png,109.0,101,Test
am50_2p5_1825cQ3R3.png,109.0,94,Test
am50_2p5_1825cQ3R4.png,109.0,104,Test
am50_2p5_1824cQ3R1.png,109.0,139,Test
am50_2p5_1824cQ3R2.png,109.0,133,Test
am50_2p5_1824cQ3R3.png,109.0,142,Test
am50_2p5_1824cQ3R4.png,109.0,122,Test
am50_2p5_1801cQ3R1.png,109.0,96,Test
am50_2p5_1801cQ3R2.png,109.0,111,Test
am50_2p5_1801cQ3R3.png,109.0,118,Test
am50_2p5_1801cQ3R4.png,109.0,111,Test
am50_2p5_1822cQ4R1.png,109.0,130,Test
am50_2p5_1822cQ4R2.png,109.0,126,Test
am50_2p5_1822cQ4R3.png,109.0,110,Test
am50_2p5_1822cQ4R4.png,109.0,97,Test
am50_2p5_1817cQ3R1.png,109.0,105,Test
am50_2p5_1817cQ3R2.png,109.0,114,Test
am50_2p5_1817cQ3R3.png,109.0,105,Test
am50_2p5_1817cQ3R4.png,109.0,124,Test
am50_5p0_1799cQ2R1.png,109.0,109,Test
am50_5p0_1799cQ2R2.png,109.0,120,Test
am50_5p0_1799cQ2R3.png,109.0,102,Test
am50_5p0_1799cQ2R4.png,109.0,119,Test
am50_5p0_1787cQ2R1.png,109.0,107,Test
am50_5p0_1787cQ2R2.png,109.0,104,Test
am50_5p0_1787cQ2R3.png,109.0,109,Test
am50_5p0_1787cQ2R4.png,109.0,103,Test
am50_5p0_1787cQ3R1.png,109.0,99,Test
am50_5p0_1787cQ3R2.png,109.0,112,Test
am50_5p0_1787cQ3R3.png,109.0,127,Test
am50_5p0_1787cQ3R4.png,109.0,108,Test
am50_5p0_1800cQ2R1.png,109.0,108,Test
am50_5p0_1800cQ2R2.png,109.0,98,Test
am50_5p0_1800cQ2R3.png,109.0,106,Test
am50_5p0_1800cQ2R4.png,109.0,118,Test
am50_2p5_1806cQ4R1.png,109.0,117,Test
am50_2p5_1806cQ4R2.png,109.0,116,Test
am50_2p5_1806cQ4R3.png,109.0,116,Test
am50_2p5_1806cQ4R4.png,109.0,120,Test
am50_2p5_1821cQ1R1.png,109.0,125,Test
am50_2p5_1821cQ1R2.png,109.0,131,Test
am50_2p5_1821cQ1R3.png,109.0,124,Test
am50_2p5_1821cQ1R4.png,109.0,133,Test
am50_2p5_1818cQ1R1.png,109.0,114,Test
am50_2p5_1818cQ1R2.png,109.0,98,Test
am50_2p5_1818cQ1R3.png,109.0,114,Test
am50_2p5_1818cQ1R4.png,109.0,115,Test
am50_5p0_1782cQ3R1.png,109.0,105,Test
am50_5p0_1782cQ3R2.png,109.0,99,Test
am50_5p0_1782cQ3R3.png,109.0,114,Test
am50_5p0_1782cQ3R4.png,109.0,87,Test
am50_2p5_1810cQ1R1.png,109.0,109,Test
am50_2p5_1810cQ1R2.png,109.0,125,Test
am50_2p5_1810cQ1R3.png,109.0,112,Test
am50_2p5_1810cQ1R4.png,109.0,108,Test
am50_2p5_1810cQ2R1.png,109.0,107,Test
am50_2p5_1810cQ2R2.png,109.0,104,Test
am50_2p5_1810cQ2R3.png,109.0,94,Test
am50_2p5_1810cQ2R4.png,109.0,124,Test
am50_5p0_1773cQ1R1.png,109.0,221,Test
am50_5p0_1773cQ1R2.png,109.0,252,Test
am50_5p0_1773cQ1R3.png,109.0,133,Test
am50_5p0_1773cQ1R4.png,109.0,208,Test
am50_2p5_1823cQ2R1.png,109.0,110,Test
am50_2p5_1823cQ2R2.png,109.0,127,Test
am50_2p5_1823cQ2R3.png,109.0,127,Test
am50_2p5_1823cQ2R4.png,109.0,107,Test
am50_2p5_1809cQ2R1.png,109.0,129,Test
am50_2p5_1809cQ2R2.png,109.0,113,Test
am50_2p5_1809cQ2R3.png,109.0,107,Test
am50_2p5_1809cQ2R4.png,109.0,120,Test
am50_5p0_1779cQ2R1.png,109.0,106,Test
am50_5p0_1779cQ2R2.png,109.0,125,Test
am50_5p0_1779cQ2R3.png,109.0,123,Test
am50_5p0_1779cQ2R4.png,109.0,113,Test
am50_5p0_1779cQ4R1.png,109.0,107,Test
am50_5p0_1779cQ4R2.png,109.0,110,Test
am50_5p0_1779cQ4R3.png,109.0,100,Test
am50_5p0_1779cQ4R4.png,109.0,91,Test
am50_2p5_1811cQ4R1.png,109.0,109,Test
am50_2p5_1811cQ4R2.png,109.0,109,Test
am50_2p5_1811cQ4R3.png,109.0,92,Test
am50_2p5_1811cQ4R4.png,109.0,105,Test
am50_5p0_1795cQ3R1.png,109.0,127,Test
am50_5p0_1795cQ3R2.png,109.0,122,Test
am50_5p0_1795cQ3R3.png,109.0,117,Test
am50_5p0_1795cQ3R4.png,109.0,107,Test
am50_5p0_1795cQ4R1.png,109.0,101,Test
am50_5p0_1795cQ4R2.png,109.0,116,Test
am50_5p0_1795cQ4R3.png,109.0,110,Test
am50_5p0_1795cQ4R4.png,109.0,107,Test
am50_5p0_1798cQ2R1.png,109.0,87,Test
am50_5p0_1798cQ2R2.png,109.0,87,Test
am50_5p0_1798cQ2R3.png,109.0,93,Test
am50_5p0_1798cQ2R4.png,109.0,108,Test
am50_5p0_1798cQ4R1.png,109.0,109,Test
am50_5p0_1798cQ4R2.png,109.0,112,Test
am50_5p0_1798cQ4R3.png,109.0,120,Test
am50_5p0_1798cQ4R4.png,109.0,108,Test
am50_2p5_1827cQ1R1.png,109.0,115,Test
am50_2p5_1827cQ1R2.png,109.0,118,Test
am50_2p5_1827cQ1R3.png,109.0,124,Test
am50_2p5_1827cQ1R4.png,109.0,103,Test
am50_5p0_1784cQ4R1.png,109.0,108,Test
am50_5p0_1784cQ4R2.png,109.0,108,Test
am50_5p0_1784cQ4R3.png,109.0,94,Test
am50_5p0_1784cQ4R4.png,109.0,99,Test
am50_5p0_1777cQ2R1.png,109.0,110,Test
am50_5p0_1777cQ2R2.png,109.0,132,Test
am50_5p0_1777cQ2R3.png,109.0,127,Test
am50_5p0_1777cQ2R4.png,109.0,119,Test
am50_5p0_1777cQ4R1.png,109.0,100,Test
am50_5p0_1777cQ4R2.png,109.0,110,Test
am50_5p0_1777cQ4R3.png,109.0,106,Test
am50_5p0_1777cQ4R4.png,109.0,118,Test
am50_5p0_1788cQ4R1.png,109.0,95,Test
am50_5p0_1788cQ4R2.png,109.0,106,Test
am50_5p0_1788cQ4R3.png,109.0,107,Test
am50_5p0_1788cQ4R4.png,109.0,104,Test
am50_2p5_1815cQ1R1.png,109.0,96,Test
am50_2p5_1815cQ1R2.png,109.0,94,Test
am50_2p5_1815cQ1R3.png,109.0,107,Test
am50_2p5_1815cQ1R4.png,109.0,97,Test
am50_5p0_1785cQ2R1.png,109.0,117,Test
am50_5p0_1785cQ2R2.png,109.0,124,Test
am50_5p0_1785cQ2R3.png,109.0,122,Test
am50_5p0_1785cQ2R4.png,109.0,119,Test
am50_2p5_1814cQ1R1.png,109.0,106,Test
am50_2p5_1814cQ1R2.png,109.0,112,Test
am50_2p5_1814cQ1R3.png,109.0,115,Test
am50_2p5_1814cQ1R4.png,109.0,113,Test
am50_2p5_1807cQ1R1.png,109.0,117,Test
am50_2p5_1807cQ1R2.png,109.0,113,Test
am50_2p5_1807cQ1R3.png,109.0,113,Test
am50_2p5_1807cQ1R4.png,109.0,110,Test
am50_2p5_1807cQ3R1.png,109.0,105,Test
am50_2p5_1807cQ3R2.png,109.0,101,Test
am50_2p5_1807cQ3R3.png,109.0,124,Test
am50_2p5_1807cQ3R4.png,109.0,105,Test
am50_5p0_1794cQ1R1.png,109.0,110,Test
am50_5p0_1794cQ1R2.png,109.0,106,Test
am50_5p0_1794cQ1R3.png,109.0,111,Test
am50_5p0_1794cQ1R4.png,109.0,109,Test
am50_5p0_1794cQ3R1.png,109.0,106,Test
am50_5p0_1794cQ3R2.png,109.0,121,Test
am50_5p0_1794cQ3R3.png,109.0,122,Test
am50_5p0_1794cQ3R4.png,109.0,103,Test
am50_5p0_1776cQ3R1.png,109.0,111,Test
am50_5p0_1776cQ3R2.png,109.0,111,Test
am50_5p0_1776cQ3R3.png,109.0,116,Test
am50_5p0_1776cQ3R4.png,109.0,105,Test
am50_2p5_1828cQ1R1.png,109.0,104,Test
am50_2p5_1828cQ1R2.png,109.0,111,Test
am50_2p5_1828cQ1R3.png,109.0,126,Test
