Image,Expected,Predicted,Subset
am50_2p5_1820cQ2R1.png,109.0,101,Test
am50_2p5_1820cQ2R2.png,109.0,98,Test
am50_2p5_1820cQ2R3.png,109.0,109,Test
am50_2p5_1820cQ2R4.png,109.0,110,Test
am50_2p5_1816cQ1R1.png,109.0,95,Test
am50_2p5_1816cQ1R2.png,109.0,104,Test
am50_2p5_1816cQ1R3.png,109.0,109,Test
am50_2p5_1816cQ1R4.png,109.0,97,Test
am50_5p0_1792cQ2R1.png,109.0,107,Test
am50_5p0_1792cQ2R2.png,109.0,101,Test
am50_5p0_1792cQ2R3.png,109.0,103,Test
am50_5p0_1792cQ2R4.png,109.0,115,Test
am50_5p0_1774cQ3R1.png,109.0,124,Test
am50_5p0_1774cQ3R2.png,109.0,115,Test
am50_5p0_1774cQ3R3.png,109.0,110,Test
am50_5p0_1774cQ3R4.png,109.0,112,Test
am50_2p5_1824cQ2R1.png,109.0,105,Test
am50_2p5_1824cQ2R2.png,109.0,96,Test
am50_2p5_1824cQ2R3.png,109.0,101,Test
am50_2p5_1824cQ2R4.png,109.0,102,Test
am50_2p5_1801cQ4R1.png,109.0,99,Test
am50_2p5_1801cQ4R2.png,109.0,116,Test
am50_2p5_1801cQ4R3.png,109.0,115,Test
am50_2p5_1801cQ4R4.png,109.0,105,Test
am50_2p5_1822cQ1R1.png,109.0,117,Test
am50_2p5_1822cQ1R2.png,109.0,135,Test
am50_2p5_1822cQ1R3.png,109.0,132,Test
am50_2p5_1822cQ1R4.png,109.0,133,Test
am50_2p5_1817cQ1R1.png,109.0,114,Test
am50_2p5_1817cQ1R2.png,109.0,117,Test
am50_2p5_1817cQ1R3.png,109.0,118,Test
am50_2p5_1817cQ1R4.png,109.0,106,Test
am50_2p5_1817cQ2R1.png,109.0,123,Test
am50_2p5_1817cQ2R2.png,109.0,106,Test
am50_2p5_1817cQ2R3.png,109.0,99,Test
am50_2p5_1817cQ2R4.png,109.0,105,Test
am50_5p0_1793cQ1R1.png,109.0,102,Test
am50_5p0_1793cQ1R2.png,109.0,112,Test
am50_5p0_1793cQ1R3.png,109.0,108,Test
am50_5p0_1793cQ1R4.png,109.0,106,Test
am50_5p0_1793cQ3R1.png,109.0,77,Test
am50_5p0_1793cQ3R2.png,109.0,102,Test
am50_5p0_1793cQ3R3.png,109.0,90,Test
am50_5p0_1793cQ3R4.png,109.0,97,Test
am50_5p0_1800cQ1R1.png,109.0,106,Test
am50_5p0_1800cQ1R2.png,109.0,95,Test
am50_5p0_1800cQ1R3.png,109.0,108,Test
am50_5p0_1800cQ1R4.png,109.0,103,Test
am50_2p5_1821cQ4R1.png,109.0,100,Test
am50_2p5_1821cQ4R2.png,109.0,128,Test
am50_2p5_1821cQ4R3.png,109.0,110,Test
am50_2p5_1821cQ4R4.png,109.0,113,Test
am50_2p5_1818cQ2R1.png,109.0,115,Test
am50_2p5_1818cQ2R2.png,109.0,110,Test
am50_2p5_1818cQ2R3.png,109.0,112,Test
am50_2p5_1818cQ2R4.png,109.0,124,Test
am50_2p5_1818cQ3R1.png,109.0,103,Test
am50_2p5_1818cQ3R2.png,109.0,126,Test
am50_2p5_1818cQ3R3.png,109.0,112,Test
am50_2p5_1818cQ3R4.png,109.0,118,Test
am50_2p5_1810cQ2R1.png,109.0,104,Test
am50_2p5_1810cQ2R2.png,109.0,99,Test
am50_2p5_1810cQ2R3.png,109.0,97,Test
am50_2p5_1810cQ2R4.png,109.0,108,Test
am50_2p5_1810cQ3R1.png,109.0,102,Test
am50_2p5_1810cQ3R2.png,109.0,114,Test
am50_2p5_1810cQ3R3.png,109.0,107,Test
am50_2p5_1810cQ3R4.png,109.0,98,Test
am50_2p5_1830cQ4R1.png,109.0,113,Test
am50_2p5_1830cQ4R2.png,109.0,107,Test
am50_2p5_1830cQ4R3.png,109.0,107,Test
am50_2p5_1830cQ4R4.png,109.0,103,Test
am50_5p0_1786cQ2R1.png,109.0,106,Test
am50_5p0_1786cQ2R2.png,109.0,105,Test
am50_5p0_1786cQ2R3.png,109.0,107,Test
am50_5p0_1786cQ2R4.png,109.0,115,Test
am50_5p0_1786cQ4R1.png,109.0,116,Test
am50_5p0_1786cQ4R2.png,109.0,108,Test
am50_5p0_1786cQ4R3.png,109.0,109,Test
am50_5p0_1786cQ4R4.png,109.0,109,Test
am50_2p5_1803cQ2R1.png,109.0,92,Test
am50_2p5_1803cQ2R2.png,109.0,105,Test
am50_2p5_1803cQ2R3.png,109.0,95,Test
am50_2p5_1803cQ2R4.png,109.0,105,Test
am50_2p5_1809cQ1R1.png,109.0,109,Test
am50_2p5_1809cQ1R2.png,109.0,112,Test
am50_2p5_1809cQ1R3.png,109.0,110,Test
am50_2p5_1809cQ1R4.png,109.0,107,Test
am50_2p5_1809cQ2R1.png,109.0,111,Test
am50_2p5_1809cQ2R2.png,109.0,96,Test
am50_2p5_1809cQ2R3.png,109.0,103,Test
am50_2p5_1809cQ2R4.png,109.0,109,Test
am50_2p5_1805cQ3R1.png,109.0,119,Test
am50_2p5_1805cQ3R2.png,109.0,121,Test
am50_2p5_1805cQ3R3.png,109.0,109,Test
