Image,Expected,Predicted,Run No.,Source
am50_5p0_1771cQ4R1.png,109.0,106.0,0.0,Magnesium Dataset
am50_5p0_1771cQ4R2.png,109.0,96.0,0.0,Magnesium Dataset
am50_5p0_1771cQ4R3.png,109.0,102.0,0.0,Magnesium Dataset
am50_5p0_1771cQ4R4.png,109.0,94.0,0.0,Magnesium Dataset
am50_2p5_1816cQ2R1.png,109.0,96.0,0.0,Magnesium Dataset
am50_2p5_1816cQ2R2.png,109.0,138.0,0.0,Magnesium Dataset
am50_2p5_1816cQ2R3.png,109.0,112.0,0.0,Magnesium Dataset
am50_2p5_1816cQ2R4.png,109.0,93.0,0.0,Magnesium Dataset
am50_5p0_1792cQ2R1.png,109.0,117.0,0.0,Magnesium Dataset
am50_5p0_1792cQ2R2.png,109.0,115.0,0.0,Magnesium Dataset
am50_5p0_1792cQ2R3.png,109.0,104.0,0.0,Magnesium Dataset
am50_5p0_1792cQ2R4.png,109.0,115.0,0.0,Magnesium Dataset
am50_5p0_1796cQ4R1.png,109.0,107.0,0.0,Magnesium Dataset
am50_5p0_1796cQ4R2.png,109.0,119.0,0.0,Magnesium Dataset
am50_5p0_1796cQ4R3.png,109.0,114.0,0.0,Magnesium Dataset
am50_5p0_1796cQ4R4.png,109.0,112.0,0.0,Magnesium Dataset
am50_5p0_1774cQ4R1.png,109.0,114.0,0.0,Magnesium Dataset
am50_5p0_1774cQ4R2.png,109.0,108.0,0.0,Magnesium Dataset
am50_5p0_1774cQ4R3.png,109.0,115.0,0.0,Magnesium Dataset
am50_5p0_1774cQ4R4.png,109.0,104.0,0.0,Magnesium Dataset
am50_2p5_1824cQ3R1.png,109.0,125.0,0.0,Magnesium Dataset
am50_2p5_1824cQ3R2.png,109.0,113.0,0.0,Magnesium Dataset
am50_2p5_1824cQ3R3.png,109.0,128.0,0.0,Magnesium Dataset
am50_2p5_1824cQ3R4.png,109.0,124.0,0.0,Magnesium Dataset
am50_2p5_1824cQ4R1.png,109.0,119.0,0.0,Magnesium Dataset
