Image,Expected,Predicted,Run No.,Source
am50_5p0_1772cQ1R1.png,109,101,0,Magnesium Dataset
am50_5p0_1772cQ1R2.png,109,110,0,Magnesium Dataset
am50_5p0_1772cQ1R3.png,109,106,0,Magnesium Dataset
am50_5p0_1772cQ1R4.png,109,106,0,Magnesium Dataset
am50_5p0_1772cQ3R1.png,109,109,0,Magnesium Dataset
am50_5p0_1772cQ3R2.png,109,108,0,Magnesium Dataset
am50_5p0_1772cQ3R3.png,109,103,0,Magnesium Dataset
am50_5p0_1772cQ3R4.png,109,108,0,Magnesium Dataset
am50_5p0_1772cQ4R1.png,109,121,0,Magnesium Dataset
am50_5p0_1772cQ4R2.png,109,108,0,Magnesium Dataset
am50_5p0_1772cQ4R3.png,109,123,0,Magnesium Dataset
am50_5p0_1772cQ4R4.png,109,125,0,Magnesium Dataset
am50_2p5_1802cQ1R1.png,109,85,0,Magnesium Dataset
am50_2p5_1802cQ1R2.png,109,99,0,Magnesium Dataset
am50_2p5_1802cQ1R3.png,109,90,0,Magnesium Dataset
am50_2p5_1802cQ1R4.png,109,92,0,Magnesium Dataset
am50_2p5_1802cQ2R1.png,109,104,0,Magnesium Dataset
am50_2p5_1802cQ2R2.png,109,94,0,Magnesium Dataset
am50_2p5_1802cQ2R3.png,109,92,0,Magnesium Dataset
am50_2p5_1802cQ2R4.png,109,93,0,Magnesium Dataset
am50_2p5_1820cQ4R1.png,109,111,0,Magnesium Dataset
am50_2p5_1820cQ4R2.png,109,111,0,Magnesium Dataset
am50_2p5_1820cQ4R3.png,109,104,0,Magnesium Dataset
am50_2p5_1820cQ4R4.png,109,119,0,Magnesium Dataset
am50_5p0_1792cQ1R1.png,109,98,0,Magnesium Dataset
am50_5p0_1792cQ1R2.png,109,114,0,Magnesium Dataset
am50_5p0_1792cQ1R3.png,109,90,0,Magnesium Dataset
am50_5p0_1792cQ1R4.png,109,103,0,Magnesium Dataset
am50_5p0_1770cQ4R1.png,109,113,0,Magnesium Dataset
am50_5p0_1770cQ4R2.png,109,116,0,Magnesium Dataset
am50_5p0_1770cQ4R3.png,109,109,0,Magnesium Dataset
am50_5p0_1770cQ4R4.png,109,102,0,Magnesium Dataset
am50_5p0_1774cQ4R1.png,109,119,0,Magnesium Dataset
am50_5p0_1774cQ4R2.png,109,114,0,Magnesium Dataset
am50_5p0_1774cQ4R3.png,109,115,0,Magnesium Dataset
am50_5p0_1774cQ4R4.png,109,105,0,Magnesium Dataset
am50_2p5_1825cQ2R1.png,109,102,0,Magnesium Dataset
am50_2p5_1825cQ2R2.png,109,107,0,Magnesium Dataset
am50_2p5_1825cQ2R3.png,109,112,0,Magnesium Dataset
am50_2p5_1825cQ2R4.png,109,95,0,Magnesium Dataset
am50_2p5_1825cQ3R1.png,109,106,0,Magnesium Dataset
am50_2p5_1825cQ3R2.png,109,101,0,Magnesium Dataset
am50_2p5_1825cQ3R3.png,109,94,0,Magnesium Dataset
am50_2p5_1825cQ3R4.png,109,102,0,Magnesium Dataset
am50_2p5_1824cQ1R1.png,109,103,0,Magnesium Dataset
am50_2p5_1824cQ1R2.png,109,105,0,Magnesium Dataset
am50_2p5_1824cQ1R3.png,109,107,0,Magnesium Dataset
am50_2p5_1824cQ1R4.png,109,106,0,Magnesium Dataset
am50_5p0_1775cQ1R1.png,109,110,0,Magnesium Dataset
am50_5p0_1775cQ1R2.png,109,101,0,Magnesium Dataset
am50_5p0_1775cQ1R3.png,109,108,0,Magnesium Dataset
am50_5p0_1775cQ1R4.png,109,101,0,Magnesium Dataset
am50_2p5_1817cQ4R1.png,109,120,0,Magnesium Dataset
am50_2p5_1817cQ4R2.png,109,123,0,Magnesium Dataset
am50_2p5_1817cQ4R3.png,109,108,0,Magnesium Dataset
am50_2p5_1817cQ4R4.png,109,114,0,Magnesium Dataset
am50_5p0_1787cQ1R1.png,109,103,0,Magnesium Dataset
am50_5p0_1787cQ1R2.png,109,102,0,Magnesium Dataset
am50_5p0_1787cQ1R3.png,109,93,0,Magnesium Dataset
am50_5p0_1787cQ1R4.png,109,98,0,Magnesium Dataset
