Image,Expected,Predicted,Run No.,Source
am50_5p0_1771cQ2R1.png,109,105,0,Magnesium Dataset
am50_5p0_1771cQ2R2.png,109,93,0,Magnesium Dataset
am50_5p0_1771cQ2R3.png,109,98,0,Magnesium Dataset
am50_5p0_1771cQ2R4.png,109,92,0,Magnesium Dataset
am50_2p5_1820cQ4R1.png,109,119,0,Magnesium Dataset
am50_2p5_1820cQ4R2.png,109,105,0,Magnesium Dataset
am50_2p5_1820cQ4R3.png,109,111,0,Magnesium Dataset
am50_2p5_1820cQ4R4.png,109,112,0,Magnesium Dataset
am50_5p0_1792cQ2R1.png,109,118,0,Magnesium Dataset
am50_5p0_1792cQ2R2.png,109,114,0,Magnesium Dataset
am50_5p0_1792cQ2R3.png,109,109,0,Magnesium Dataset
am50_5p0_1792cQ2R4.png,109,122,0,Magnesium Dataset
am50_5p0_1796cQ1R1.png,109,108,0,Magnesium Dataset
am50_5p0_1796cQ1R2.png,109,111,0,Magnesium Dataset
am50_5p0_1796cQ1R3.png,109,97,0,Magnesium Dataset
am50_5p0_1796cQ1R4.png,109,104,0,Magnesium Dataset
am50_5p0_1774cQ1R1.png,109,107,0,Magnesium Dataset
am50_5p0_1774cQ1R2.png,109,107,0,Magnesium Dataset
am50_5p0_1774cQ1R3.png,109,104,0,Magnesium Dataset
am50_5p0_1774cQ1R4.png,109,105,0,Magnesium Dataset
am50_2p5_1801cQ4R1.png,109,98,0,Magnesium Dataset
am50_2p5_1801cQ4R2.png,109,116,0,Magnesium Dataset
am50_2p5_1801cQ4R3.png,109,113,0,Magnesium Dataset
am50_2p5_1801cQ4R4.png,109,108,0,Magnesium Dataset
am50_5p0_1793cQ1R1.png,109,110,0,Magnesium Dataset
am50_5p0_1793cQ1R2.png,109,115,0,Magnesium Dataset
am50_5p0_1793cQ1R3.png,109,107,0,Magnesium Dataset
am50_5p0_1793cQ1R4.png,109,109,0,Magnesium Dataset
am50_5p0_1800cQ4R1.png,109,122,0,Magnesium Dataset
am50_5p0_1800cQ4R2.png,109,113,0,Magnesium Dataset
am50_5p0_1800cQ4R3.png,109,112,0,Magnesium Dataset
am50_5p0_1800cQ4R4.png,109,95,0,Magnesium Dataset
am50_2p5_1818cQ2R1.png,109,125,0,Magnesium Dataset
am50_2p5_1818cQ2R2.png,109,106,0,Magnesium Dataset
am50_2p5_1818cQ2R3.png,109,115,0,Magnesium Dataset
am50_2p5_1818cQ2R4.png,109,114,0,Magnesium Dataset
am50_2p5_1818cQ3R1.png,109,114,0,Magnesium Dataset
am50_2p5_1818cQ3R2.png,109,125,0,Magnesium Dataset
am50_2p5_1818cQ3R3.png,109,113,0,Magnesium Dataset
am50_2p5_1818cQ3R4.png,109,123,0,Magnesium Dataset
am50_5p0_1782cQ1R1.png,109,128,0,Magnesium Dataset
am50_5p0_1782cQ1R2.png,109,121,0,Magnesium Dataset
am50_5p0_1782cQ1R3.png,109,127,0,Magnesium Dataset
am50_5p0_1782cQ1R4.png,109,128,0,Magnesium Dataset
am50_5p0_1782cQ3R1.png,109,93,0,Magnesium Dataset
am50_5p0_1782cQ3R2.png,109,102,0,Magnesium Dataset
am50_5p0_1782cQ3R3.png,109,111,0,Magnesium Dataset
am50_5p0_1782cQ3R4.png,109,97,0,Magnesium Dataset
am50_2p5_1810cQ3R1.png,109,109,0,Magnesium Dataset
am50_2p5_1810cQ3R2.png,109,111,0,Magnesium Dataset
am50_2p5_1810cQ3R3.png,109,111,0,Magnesium Dataset
am50_2p5_1810cQ3R4.png,109,97,0,Magnesium Dataset
am50_2p5_1810cQ4R1.png,109,101,0,Magnesium Dataset
am50_2p5_1810cQ4R2.png,109,100,0,Magnesium Dataset
am50_2p5_1810cQ4R3.png,109,103,0,Magnesium Dataset
am50_2p5_1810cQ4R4.png,109,98,0,Magnesium Dataset
am50_2p5_1830cQ4R1.png,109,126,0,Magnesium Dataset
am50_2p5_1830cQ4R2.png,109,105,0,Magnesium Dataset
am50_2p5_1830cQ4R3.png,109,112,0,Magnesium Dataset
am50_2p5_1830cQ4R4.png,109,101,0,Magnesium Dataset
am50_2p5_1803cQ1R1.png,109,106,0,Magnesium Dataset
am50_2p5_1803cQ1R2.png,109,99,0,Magnesium Dataset
am50_2p5_1803cQ1R3.png,109,102,0,Magnesium Dataset
am50_2p5_1803cQ1R4.png,109,100,0,Magnesium Dataset
am50_2p5_1823cQ2R1.png,109,114,0,Magnesium Dataset
am50_2p5_1823cQ2R2.png,109,122,0,Magnesium Dataset
am50_2p5_1823cQ2R3.png,109,122,0,Magnesium Dataset
am50_2p5_1823cQ2R4.png,109,121,0,Magnesium Dataset
am50_2p5_1809cQ1R1.png,109,109,0,Magnesium Dataset
am50_2p5_1809cQ1R2.png,109,120,0,Magnesium Dataset
am50_2p5_1809cQ1R3.png,109,109,0,Magnesium Dataset
am50_2p5_1809cQ1R4.png,109,109,0,Magnesium Dataset
am50_2p5_1809cQ2R1.png,109,111,0,Magnesium Dataset
am50_2p5_1809cQ2R2.png,109,110,0,Magnesium Dataset
am50_2p5_1809cQ2R3.png,109,102,0,Magnesium Dataset
