Image,Expected,Predicted,Run No.,Source
am50_5p0_1770cQ3R1.png,109,109,0,Magnesium Dataset
am50_5p0_1770cQ3R2.png,109,99,0,Magnesium Dataset
am50_5p0_1770cQ3R3.png,109,103,0,Magnesium Dataset
am50_5p0_1770cQ3R4.png,109,125,0,Magnesium Dataset
am50_2p5_1804cQ1R1.png,109,110,0,Magnesium Dataset
am50_2p5_1804cQ1R2.png,109,99,0,Magnesium Dataset
am50_2p5_1804cQ1R3.png,109,105,0,Magnesium Dataset
am50_2p5_1804cQ1R4.png,109,115,0,Magnesium Dataset
am50_2p5_1801cQ2R1.png,109,96,0,Magnesium Dataset
am50_2p5_1801cQ2R2.png,109,106,0,Magnesium Dataset
am50_2p5_1801cQ2R3.png,109,103,0,Magnesium Dataset
am50_2p5_1801cQ2R4.png,109,94,0,Magnesium Dataset
am50_2p5_1817cQ1R1.png,109,129,0,Magnesium Dataset
am50_2p5_1817cQ1R2.png,109,118,0,Magnesium Dataset
am50_2p5_1817cQ1R3.png,109,112,0,Magnesium Dataset
am50_2p5_1817cQ1R4.png,109,111,0,Magnesium Dataset
am50_5p0_1799cQ1R1.png,109,102,0,Magnesium Dataset
am50_5p0_1799cQ1R2.png,109,97,0,Magnesium Dataset
am50_5p0_1799cQ1R3.png,109,107,0,Magnesium Dataset
am50_5p0_1799cQ1R4.png,109,103,0,Magnesium Dataset
am50_5p0_1799cQ2R1.png,109,103,0,Magnesium Dataset
am50_5p0_1799cQ2R2.png,109,116,0,Magnesium Dataset
am50_5p0_1799cQ2R3.png,109,95,0,Magnesium Dataset
am50_5p0_1799cQ2R4.png,109,109,0,Magnesium Dataset
am50_5p0_1787cQ3R1.png,109,104,0,Magnesium Dataset
am50_5p0_1787cQ3R2.png,109,108,0,Magnesium Dataset
am50_5p0_1787cQ3R3.png,109,125,0,Magnesium Dataset
am50_5p0_1787cQ3R4.png,109,102,0,Magnesium Dataset
am50_5p0_1793cQ3R1.png,109,86,0,Magnesium Dataset
am50_5p0_1793cQ3R2.png,109,103,0,Magnesium Dataset
am50_5p0_1793cQ3R3.png,109,93,0,Magnesium Dataset
am50_5p0_1793cQ3R4.png,109,101,0,Magnesium Dataset
am50_2p5_1821cQ2R1.png,109,109,0,Magnesium Dataset
am50_2p5_1821cQ2R2.png,109,109,0,Magnesium Dataset
am50_2p5_1821cQ2R3.png,109,106,0,Magnesium Dataset
am50_2p5_1821cQ2R4.png,109,96,0,Magnesium Dataset
am50_2p5_1818cQ4R1.png,109,106,0,Magnesium Dataset
am50_2p5_1818cQ4R2.png,109,118,0,Magnesium Dataset
am50_2p5_1818cQ4R3.png,109,101,0,Magnesium Dataset
am50_2p5_1818cQ4R4.png,109,98,0,Magnesium Dataset
am50_2p5_1830cQ2R1.png,109,105,0,Magnesium Dataset
am50_2p5_1830cQ2R2.png,109,106,0,Magnesium Dataset
am50_2p5_1830cQ2R3.png,109,111,0,Magnesium Dataset
am50_2p5_1830cQ2R4.png,109,109,0,Magnesium Dataset
am50_5p0_1786cQ2R1.png,109,100,0,Magnesium Dataset
am50_5p0_1786cQ2R2.png,109,101,0,Magnesium Dataset
am50_5p0_1786cQ2R3.png,109,106,0,Magnesium Dataset
am50_5p0_1786cQ2R4.png,109,107,0,Magnesium Dataset
am50_5p0_1786cQ3R1.png,109,114,0,Magnesium Dataset
am50_5p0_1786cQ3R2.png,109,100,0,Magnesium Dataset
am50_5p0_1786cQ3R3.png,109,92,0,Magnesium Dataset
am50_5p0_1786cQ3R4.png,109,103,0,Magnesium Dataset
am50_5p0_1773cQ1R1.png,109,113,0,Magnesium Dataset
am50_5p0_1773cQ1R2.png,109,157,0,Magnesium Dataset
am50_5p0_1773cQ1R3.png,109,116,0,Magnesium Dataset
am50_5p0_1773cQ1R4.png,109,127,0,Magnesium Dataset
am50_5p0_1791cQ1R1.png,109,111,0,Magnesium Dataset
am50_5p0_1791cQ1R2.png,109,100,0,Magnesium Dataset
am50_5p0_1791cQ1R3.png,109,102,0,Magnesium Dataset
am50_5p0_1791cQ1R4.png,109,115,0,Magnesium Dataset
am50_2p5_1823cQ3R1.png,109,98,0,Magnesium Dataset
am50_2p5_1823cQ3R2.png,109,116,0,Magnesium Dataset
am50_2p5_1823cQ3R3.png,109,115,0,Magnesium Dataset
am50_2p5_1823cQ3R4.png,109,107,0,Magnesium Dataset
am50_2p5_1811cQ1R1.png,109,123,0,Magnesium Dataset
am50_2p5_1811cQ1R2.png,109,109,0,Magnesium Dataset
am50_2p5_1811cQ1R3.png,109,125,0,Magnesium Dataset
am50_2p5_1811cQ1R4.png,109,103,0,Magnesium Dataset
am50_2p5_1827cQ1R1.png,109,108,0,Magnesium Dataset
am50_2p5_1827cQ1R2.png,109,113,0,Magnesium Dataset
am50_2p5_1827cQ1R3.png,109,115,0,Magnesium Dataset
am50_2p5_1827cQ1R4.png,109,99,0,Magnesium Dataset
am50_2p5_1827cQ3R1.png,109,107,0,Magnesium Dataset
am50_2p5_1827cQ3R2.png,109,107,0,Magnesium Dataset
am50_2p5_1827cQ3R3.png,109,103,0,Magnesium Dataset
am50_2p5_1827cQ3R4.png,109,109,0,Magnesium Dataset
am50_2p5_1812cQ2R1.png,109,118,0,Magnesium Dataset
am50_2p5_1812cQ2R2.png,109,102,0,Magnesium Dataset
am50_2p5_1812cQ2R3.png,109,115,0,Magnesium Dataset
am50_2p5_1812cQ2R4.png,109,116,0,Magnesium Dataset
am50_5p0_1780cQ4R1.png,109,89,0,Magnesium Dataset
am50_5p0_1780cQ4R2.png,109,90,0,Magnesium Dataset
am50_5p0_1780cQ4R3.png,109,92,0,Magnesium Dataset
am50_5p0_1780cQ4R4.png,109,82,0,Magnesium Dataset
