Image,Expected,Predicted,Subset
am50_2p5_1820cQ2R1.png,109.0,106,Test
am50_2p5_1820cQ2R2.png,109.0,97,Test
am50_2p5_1820cQ2R3.png,109.0,111,Test
am50_2p5_1820cQ2R4.png,109.0,115,Test
am50_2p5_1816cQ4R1.png,109.0,123,Test
am50_2p5_1816cQ4R2.png,109.0,115,Test
am50_2p5_1816cQ4R3.png,109.0,127,Test
am50_2p5_1816cQ4R4.png,109.0,105,Test
am50_5p0_1792cQ3R1.png,109.0,109,Test
am50_5p0_1792cQ3R2.png,109.0,113,Test
am50_5p0_1792cQ3R3.png,109.0,104,Test
am50_5p0_1792cQ3R4.png,109.0,104,Test
am50_5p0_1792cQ4R1.png,109.0,84,Test
am50_5p0_1792cQ4R2.png,109.0,104,Test
am50_5p0_1792cQ4R3.png,109.0,104,Test
am50_5p0_1792cQ4R4.png,109.0,102,Test
am50_5p0_1770cQ1R1.png,109.0,105,Test
am50_5p0_1770cQ1R2.png,109.0,96,Test
am50_5p0_1770cQ1R3.png,109.0,90,Test
am50_5p0_1770cQ1R4.png,109.0,103,Test
am50_5p0_1770cQ2R1.png,109.0,104,Test
am50_5p0_1770cQ2R2.png,109.0,106,Test
am50_5p0_1770cQ2R3.png,109.0,101,Test
am50_5p0_1770cQ2R4.png,109.0,103,Test
am50_5p0_1796cQ1R1.png,109.0,96,Test
am50_5p0_1796cQ1R2.png,109.0,108,Test
am50_5p0_1796cQ1R3.png,109.0,104,Test
am50_5p0_1796cQ1R4.png,109.0,103,Test
am50_5p0_1796cQ3R1.png,109.0,108,Test
am50_5p0_1796cQ3R2.png,109.0,99,Test
am50_5p0_1796cQ3R3.png,109.0,112,Test
am50_5p0_1796cQ3R4.png,109.0,112,Test
am50_5p0_1774cQ4R1.png,109.0,118,Test
am50_5p0_1774cQ4R2.png,109.0,121,Test
am50_5p0_1774cQ4R3.png,109.0,114,Test
am50_5p0_1774cQ4R4.png,109.0,98,Test
am50_2p5_1825cQ4R1.png,109.0,108,Test
am50_2p5_1825cQ4R2.png,109.0,110,Test
am50_2p5_1825cQ4R3.png,109.0,100,Test
am50_2p5_1825cQ4R4.png,109.0,112,Test
am50_2p5_1824cQ2R1.png,109.0,103,Test
am50_2p5_1824cQ2R2.png,109.0,103,Test
am50_2p5_1824cQ2R3.png,109.0,102,Test
am50_2p5_1824cQ2R4.png,109.0,107,Test
am50_2p5_1824cQ3R1.png,109.0,114,Test
am50_2p5_1824cQ3R2.png,109.0,110,Test
am50_2p5_1824cQ3R3.png,109.0,118,Test
am50_2p5_1824cQ3R4.png,109.0,112,Test
am50_2p5_1804cQ1R1.png,109.0,106,Test
am50_2p5_1804cQ1R2.png,109.0,99,Test
am50_2p5_1804cQ1R3.png,109.0,112,Test
am50_2p5_1804cQ1R4.png,109.0,114,Test
am50_2p5_1801cQ3R1.png,109.0,86,Test
am50_2p5_1801cQ3R2.png,109.0,97,Test
am50_2p5_1801cQ3R3.png,109.0,98,Test
am50_2p5_1801cQ3R4.png,109.0,99,Test
am50_5p0_1775cQ3R1.png,109.0,120,Test
am50_5p0_1775cQ3R2.png,109.0,126,Test
am50_5p0_1775cQ3R3.png,109.0,122,Test
am50_5p0_1775cQ3R4.png,109.0,127,Test
am50_2p5_1822cQ1R1.png,109.0,118,Test
am50_2p5_1822cQ1R2.png,109.0,143,Test
am50_2p5_1822cQ1R3.png,109.0,130,Test
am50_2p5_1822cQ1R4.png,109.0,142,Test
am50_2p5_1822cQ2R1.png,109.0,127,Test
am50_2p5_1822cQ2R2.png,109.0,129,Test
am50_2p5_1822cQ2R3.png,109.0,131,Test
am50_2p5_1822cQ2R4.png,109.0,131,Test
am50_2p5_1822cQ3R1.png,109.0,102,Test
am50_2p5_1822cQ3R2.png,109.0,97,Test
