Image,Expected,Predicted
am50_5p0_1771cQ4R1.png,109.0,109
am50_5p0_1771cQ4R2.png,109.0,104
am50_5p0_1771cQ4R3.png,109.0,104
am50_5p0_1771cQ4R4.png,109.0,108
am50_5p0_1772cQ1R1.png,109.0,99
am50_5p0_1772cQ1R2.png,109.0,111
am50_5p0_1772cQ1R3.png,109.0,103
am50_5p0_1772cQ1R4.png,109.0,99
am50_5p0_1772cQ4R1.png,109.0,123
am50_5p0_1772cQ4R2.png,109.0,111
am50_5p0_1772cQ4R3.png,109.0,115
am50_5p0_1772cQ4R4.png,109.0,112
am50_2p5_1802cQ4R1.png,109.0,107
am50_2p5_1802cQ4R2.png,109.0,107
am50_2p5_1802cQ4R3.png,109.0,98
am50_2p5_1802cQ4R4.png,109.0,100
am50_2p5_1820cQ1R1.png,109.0,117
am50_2p5_1820cQ1R2.png,109.0,111
am50_2p5_1820cQ1R3.png,109.0,119
am50_2p5_1820cQ1R4.png,109.0,105
am50_2p5_1820cQ4R1.png,109.0,120
am50_2p5_1820cQ4R2.png,109.0,111
am50_2p5_1820cQ4R3.png,109.0,107
am50_2p5_1820cQ4R4.png,109.0,112
am50_5p0_1792cQ2R1.png,109.0,111
am50_5p0_1792cQ2R2.png,109.0,111
am50_5p0_1792cQ2R3.png,109.0,105
am50_5p0_1792cQ2R4.png,109.0,119
am50_2p5_1824cQ1R1.png,109.0,107
am50_2p5_1824cQ1R2.png,109.0,108
am50_2p5_1824cQ1R3.png,109.0,105
am50_2p5_1824cQ1R4.png,109.0,112
am50_2p5_1804cQ1R1.png,109.0,109
am50_2p5_1804cQ1R2.png,109.0,107
am50_2p5_1804cQ1R3.png,109.0,111
am50_2p5_1804cQ1R4.png,109.0,124
am50_5p0_1775cQ4R1.png,109.0,116
am50_5p0_1775cQ4R2.png,109.0,114
am50_5p0_1775cQ4R3.png,109.0,133
am50_5p0_1775cQ4R4.png,109.0,107
am50_2p5_1822cQ1R1.png,109.0,114
am50_2p5_1822cQ1R2.png,109.0,122
am50_2p5_1822cQ1R3.png,109.0,131
am50_2p5_1822cQ1R4.png,109.0,138
am50_2p5_1822cQ3R1.png,109.0,109
am50_2p5_1822cQ3R2.png,109.0,108
am50_2p5_1822cQ3R3.png,109.0,103
am50_2p5_1822cQ3R4.png,109.0,97
am50_2p5_1822cQ4R1.png,109.0,112
am50_2p5_1822cQ4R2.png,109.0,101
am50_2p5_1822cQ4R3.png,109.0,111
am50_2p5_1822cQ4R4.png,109.0,84
am50_2p5_1817cQ4R1.png,109.0,106
am50_2p5_1817cQ4R2.png,109.0,123
am50_2p5_1817cQ4R3.png,109.0,113
am50_2p5_1817cQ4R4.png,109.0,126
am50_5p0_1799cQ1R1.png,109.0,105
am50_5p0_1799cQ1R2.png,109.0,116
am50_5p0_1799cQ1R3.png,109.0,131
am50_5p0_1799cQ1R4.png,109.0,105
am50_5p0_1800cQ2R1.png,109.0,103
am50_5p0_1800cQ2R2.png,109.0,104
am50_5p0_1800cQ2R3.png,109.0,107
am50_5p0_1800cQ2R4.png,109.0,107
am50_5p0_1800cQ3R1.png,109.0,114
am50_5p0_1800cQ3R2.png,109.0,105
am50_5p0_1800cQ3R3.png,109.0,104
am50_5p0_1800cQ3R4.png,109.0,105
am50_2p5_1806cQ1R1.png,109.0,104
am50_2p5_1806cQ1R2.png,109.0,101
am50_2p5_1806cQ1R3.png,109.0,101
am50_2p5_1806cQ1R4.png,109.0,123
am50_2p5_1821cQ1R1.png,109.0,121
am50_2p5_1821cQ1R2.png,109.0,116
am50_2p5_1821cQ1R3.png,109.0,114
am50_2p5_1821cQ1R4.png,109.0,124
am50_5p0_1782cQ2R1.png,109.0,111
am50_5p0_1782cQ2R2.png,109.0,118
am50_5p0_1782cQ2R3.png,109.0,113
am50_5p0_1782cQ2R4.png,109.0,116
