Image,Expected,Predicted,Subset
am50_5p0_1771cQ4R1.png,109.0,97,Test
am50_5p0_1771cQ4R2.png,109.0,100,Test
am50_5p0_1771cQ4R3.png,109.0,106,Test
am50_5p0_1771cQ4R4.png,109.0,101,Test
am50_5p0_1772cQ1R1.png,109.0,99,Test
am50_5p0_1772cQ1R2.png,109.0,109,Test
am50_5p0_1772cQ1R3.png,109.0,100,Test
am50_5p0_1772cQ1R4.png,109.0,100,Test
am50_2p5_1802cQ1R1.png,109.0,82,Test
am50_2p5_1802cQ1R2.png,109.0,90,Test
am50_2p5_1802cQ1R3.png,109.0,85,Test
am50_2p5_1802cQ1R4.png,109.0,89,Test
am50_2p5_1802cQ3R1.png,109.0,95,Test
am50_2p5_1802cQ3R2.png,109.0,100,Test
am50_2p5_1802cQ3R3.png,109.0,96,Test
am50_2p5_1802cQ3R4.png,109.0,93,Test
am50_2p5_1802cQ4R1.png,109.0,106,Test
am50_2p5_1802cQ4R2.png,109.0,111,Test
am50_2p5_1802cQ4R3.png,109.0,108,Test
am50_2p5_1802cQ4R4.png,109.0,107,Test
am50_2p5_1820cQ1R1.png,109.0,121,Test
am50_2p5_1820cQ1R2.png,109.0,108,Test
am50_2p5_1820cQ1R3.png,109.0,111,Test
am50_2p5_1820cQ1R4.png,109.0,118,Test
am50_2p5_1820cQ2R1.png,109.0,112,Test
am50_2p5_1820cQ2R2.png,109.0,109,Test
am50_2p5_1820cQ2R3.png,109.0,117,Test
am50_2p5_1820cQ2R4.png,109.0,117,Test
am50_2p5_1816cQ1R1.png,109.0,103,Test
am50_2p5_1816cQ1R2.png,109.0,114,Test
am50_2p5_1816cQ1R3.png,109.0,116,Test
am50_2p5_1816cQ1R4.png,109.0,99,Test
am50_2p5_1816cQ3R1.png,109.0,108,Test
am50_2p5_1816cQ3R2.png,109.0,130,Test
am50_2p5_1816cQ3R3.png,109.0,139,Test
am50_2p5_1816cQ3R4.png,109.0,128,Test
am50_5p0_1792cQ1R1.png,109.0,105,Test
am50_5p0_1792cQ1R2.png,109.0,121,Test
am50_5p0_1792cQ1R3.png,109.0,105,Test
am50_5p0_1792cQ1R4.png,109.0,104,Test
am50_5p0_1792cQ3R1.png,109.0,106,Test
am50_5p0_1792cQ3R2.png,109.0,116,Test
am50_5p0_1792cQ3R3.png,109.0,118,Test
am50_5p0_1792cQ3R4.png,109.0,100,Test
am50_5p0_1796cQ1R1.png,109.0,115,Test
am50_5p0_1796cQ1R2.png,109.0,107,Test
am50_5p0_1796cQ1R3.png,109.0,113,Test
am50_5p0_1796cQ1R4.png,109.0,101,Test
am50_5p0_1796cQ3R1.png,109.0,117,Test
am50_5p0_1796cQ3R2.png,109.0,104,Test
am50_5p0_1796cQ3R3.png,109.0,106,Test
am50_5p0_1796cQ3R4.png,109.0,105,Test
am50_2p5_1825cQ1R1.png,109.0,100,Test
am50_2p5_1825cQ1R2.png,109.0,120,Test
am50_2p5_1825cQ1R3.png,109.0,108,Test
am50_2p5_1825cQ1R4.png,109.0,120,Test
am50_2p5_1824cQ2R1.png,109.0,110,Test
am50_2p5_1824cQ2R2.png,109.0,152,Test
am50_2p5_1824cQ2R3.png,109.0,103,Test
am50_2p5_1824cQ2R4.png,109.0,101,Test
am50_2p5_1824cQ4R1.png,109.0,116,Test
am50_2p5_1824cQ4R2.png,109.0,102,Test
am50_2p5_1824cQ4R3.png,109.0,126,Test
am50_2p5_1824cQ4R4.png,109.0,112,Test
am50_2p5_1804cQ1R1.png,109.0,96,Test
am50_2p5_1804cQ1R2.png,109.0,99,Test
am50_2p5_1804cQ1R3.png,109.0,99,Test
am50_2p5_1804cQ1R4.png,109.0,103,Test
am50_2p5_1804cQ4R1.png,109.0,107,Test
am50_2p5_1804cQ4R2.png,109.0,110,Test
am50_2p5_1804cQ4R3.png,109.0,106,Test
am50_2p5_1804cQ4R4.png,109.0,101,Test
am50_5p0_1775cQ4R1.png,109.0,105,Test
am50_5p0_1775cQ4R2.png,109.0,109,Test
am50_5p0_1775cQ4R3.png,109.0,109,Test
am50_5p0_1775cQ4R4.png,109.0,99,Test
am50_5p0_1787cQ3R1.png,109.0,107,Test
am50_5p0_1787cQ3R2.png,109.0,106,Test
am50_5p0_1787cQ3R3.png,109.0,131,Test
am50_5p0_1787cQ3R4.png,109.0,105,Test
am50_5p0_1793cQ2R1.png,109.0,101,Test
am50_5p0_1793cQ2R2.png,109.0,101,Test
am50_5p0_1793cQ2R3.png,109.0,115,Test
am50_5p0_1793cQ2R4.png,109.0,100,Test
am50_5p0_1800cQ1R1.png,109.0,100,Test
