Image,Expected,Predicted
am50_5p0_1771cQ3R1.png,109.0,104
am50_5p0_1771cQ3R2.png,109.0,127
am50_5p0_1771cQ3R3.png,109.0,106
am50_5p0_1771cQ3R4.png,109.0,110
am50_5p0_1772cQ1R1.png,109.0,100
am50_5p0_1772cQ1R2.png,109.0,113
am50_5p0_1772cQ1R3.png,109.0,105
am50_5p0_1772cQ1R4.png,109.0,100
am50_2p5_1802cQ1R1.png,109.0,94
am50_2p5_1802cQ1R2.png,109.0,104
am50_2p5_1802cQ1R3.png,109.0,96
am50_2p5_1802cQ1R4.png,109.0,92
am50_2p5_1816cQ1R1.png,109.0,93
am50_2p5_1816cQ1R2.png,109.0,102
am50_2p5_1816cQ1R3.png,109.0,118
am50_2p5_1816cQ1R4.png,109.0,93
am50_2p5_1816cQ2R1.png,109.0,96
am50_2p5_1816cQ2R2.png,109.0,117
am50_2p5_1816cQ2R3.png,109.0,109
am50_2p5_1816cQ2R4.png,109.0,94
am50_5p0_1792cQ4R1.png,109.0,90
am50_5p0_1792cQ4R2.png,109.0,99
am50_5p0_1792cQ4R3.png,109.0,104
am50_5p0_1792cQ4R4.png,109.0,98
am50_5p0_1774cQ2R1.png,109.0,103
am50_5p0_1774cQ2R2.png,109.0,101
am50_5p0_1774cQ2R3.png,109.0,96
am50_5p0_1774cQ2R4.png,109.0,101
am50_5p0_1774cQ3R1.png,109.0,111
am50_5p0_1774cQ3R2.png,109.0,109
am50_5p0_1774cQ3R3.png,109.0,115
am50_5p0_1774cQ3R4.png,109.0,111
am50_2p5_1825cQ4R1.png,109.0,106
am50_2p5_1825cQ4R2.png,109.0,115
am50_2p5_1825cQ4R3.png,109.0,110
am50_2p5_1825cQ4R4.png,109.0,115
am50_2p5_1804cQ1R1.png,109.0,112
am50_2p5_1804cQ1R2.png,109.0,108
am50_2p5_1804cQ1R3.png,109.0,113
am50_2p5_1804cQ1R4.png,109.0,115
am50_2p5_1804cQ3R1.png,109.0,105
am50_2p5_1804cQ3R2.png,109.0,115
am50_2p5_1804cQ3R3.png,109.0,121
am50_2p5_1804cQ3R4.png,109.0,104
am50_2p5_1801cQ1R1.png,109.0,111
am50_2p5_1801cQ1R2.png,109.0,112
am50_2p5_1801cQ1R3.png,109.0,107
am50_2p5_1801cQ1R4.png,109.0,116
am50_2p5_1801cQ2R1.png,109.0,109
am50_2p5_1801cQ2R2.png,109.0,102
am50_2p5_1801cQ2R3.png,109.0,104
am50_2p5_1801cQ2R4.png,109.0,99
am50_5p0_1787cQ4R1.png,109.0,99
am50_5p0_1787cQ4R2.png,109.0,112
am50_5p0_1787cQ4R3.png,109.0,104
am50_5p0_1787cQ4R4.png,109.0,97
am50_5p0_1793cQ2R1.png,109.0,101
am50_5p0_1793cQ2R2.png,109.0,104
am50_5p0_1793cQ2R3.png,109.0,110
am50_5p0_1793cQ2R4.png,109.0,104
am50_5p0_1800cQ1R1.png,109.0,101
am50_5p0_1800cQ1R2.png,109.0,85
am50_5p0_1800cQ1R3.png,109.0,110
am50_5p0_1800cQ1R4.png,109.0,100
am50_5p0_1800cQ4R1.png,109.0,116
am50_5p0_1800cQ4R2.png,109.0,120
am50_5p0_1800cQ4R3.png,109.0,116
am50_5p0_1800cQ4R4.png,109.0,106
am50_2p5_1806cQ1R1.png,109.0,98
am50_2p5_1806cQ1R2.png,109.0,100
am50_2p5_1806cQ1R3.png,109.0,100
am50_2p5_1806cQ1R4.png,109.0,113
am50_2p5_1818cQ1R1.png,109.0,108
am50_2p5_1818cQ1R2.png,109.0,106
am50_2p5_1818cQ1R3.png,109.0,109
am50_2p5_1818cQ1R4.png,109.0,104
am50_2p5_1818cQ4R1.png,109.0,104
am50_2p5_1818cQ4R2.png,109.0,117
am50_2p5_1818cQ4R3.png,109.0,103
am50_2p5_1818cQ4R4.png,109.0,106
am50_5p0_1782cQ3R1.png,109.0,96
am50_5p0_1782cQ3R2.png,109.0,97
am50_5p0_1782cQ3R3.png,109.0,110
am50_5p0_1782cQ3R4.png,109.0,100
am50_2p5_1830cQ1R1.png,109.0,116
am50_2p5_1830cQ1R2.png,109.0,115
am50_2p5_1830cQ1R3.png,109.0,110
am50_2p5_1830cQ1R4.png,109.0,108
am50_5p0_1786cQ4R1.png,109.0,112
am50_5p0_1786cQ4R2.png,109.0,110
am50_5p0_1786cQ4R3.png,109.0,106
am50_5p0_1786cQ4R4.png,109.0,107
am50_5p0_1791cQ4R1.png,109.0,107
am50_5p0_1791cQ4R2.png,109.0,109
am50_5p0_1791cQ4R3.png,109.0,122
am50_5p0_1791cQ4R4.png,109.0,110
am50_2p5_1823cQ3R1.png,109.0,96
am50_2p5_1823cQ3R2.png,109.0,105
am50_2p5_1823cQ3R3.png,109.0,111
am50_2p5_1823cQ3R4.png,109.0,119
am50_2p5_1805cQ3R1.png,109.0,123
am50_2p5_1805cQ3R2.png,109.0,123
am50_2p5_1805cQ3R3.png,109.0,117
am50_2p5_1805cQ3R4.png,109.0,113
am50_5p0_1779cQ3R1.png,109.0,112
am50_5p0_1779cQ3R2.png,109.0,107
am50_5p0_1779cQ3R3.png,109.0,110
am50_5p0_1779cQ3R4.png,109.0,109
am50_2p5_1812cQ1R1.png,109.0,123
am50_2p5_1812cQ1R2.png,109.0,108
am50_2p5_1812cQ1R3.png,109.0,109
am50_2p5_1812cQ1R4.png,109.0,123
am50_2p5_1812cQ3R1.png,109.0,119
am50_2p5_1812cQ3R2.png,109.0,125
am50_2p5_1812cQ3R3.png,109.0,130
am50_2p5_1812cQ3R4.png,109.0,112
am50_5p0_1780cQ3R1.png,109.0,94
am50_5p0_1780cQ3R2.png,109.0,107
am50_5p0_1780cQ3R3.png,109.0,102
am50_5p0_1780cQ3R4.png,109.0,108
am50_5p0_1780cQ4R1.png,109.0,94
am50_5p0_1780cQ4R2.png,109.0,94
am50_5p0_1780cQ4R3.png,109.0,92
am50_5p0_1780cQ4R4.png,109.0,125
am50_5p0_1790cQ4R1.png,109.0,106
am50_5p0_1790cQ4R2.png,109.0,107
am50_5p0_1790cQ4R3.png,109.0,112
am50_5p0_1790cQ4R4.png,109.0,116
am50_5p0_1788cQ1R1.png,109.0,103
am50_5p0_1788cQ1R2.png,109.0,111
am50_5p0_1788cQ1R3.png,109.0,106
am50_5p0_1788cQ1R4.png,109.0,120
am50_5p0_1785cQ1R1.png,109.0,110
am50_5p0_1785cQ1R2.png,109.0,102
am50_5p0_1785cQ1R3.png,109.0,102
am50_5p0_1785cQ1R4.png,109.0,101
am50_2p5_1826cQ1R1.png,109.0,109
am50_2p5_1826cQ1R2.png,109.0,106
am50_2p5_1826cQ1R3.png,109.0,101
am50_2p5_1826cQ1R4.png,109.0,109
am50_2p5_1807cQ4R1.png,109.0,112
am50_2p5_1807cQ4R2.png,109.0,117
am50_2p5_1807cQ4R3.png,109.0,102
am50_2p5_1807cQ4R4.png,109.0,109
am50_2p5_1813cQ4R1.png,109.0,122
am50_2p5_1813cQ4R2.png,109.0,123
am50_2p5_1813cQ4R3.png,109.0,120
am50_2p5_1813cQ4R4.png,109.0,118
am50_2p5_1828cQ1R1.png,109.0,113
am50_2p5_1828cQ1R2.png,109.0,117
am50_2p5_1828cQ1R3.png,109.0,118
am50_2p5_1828cQ1R4.png,109.0,109
am50_2p5_1828cQ2R1.png,109.0,120
am50_2p5_1828cQ2R2.png,109.0,102
am50_2p5_1828cQ2R3.png,109.0,102
am50_2p5_1828cQ2R4.png,109.0,126
am50_5p0_1778cQ1R1.png,109.0,104
am50_5p0_1778cQ1R2.png,109.0,106
am50_5p0_1778cQ1R3.png,109.0,108
am50_5p0_1778cQ1R4.png,109.0,101
am50_5p0_1778cQ4R1.png,109.0,102
am50_5p0_1778cQ4R2.png,109.0,105
