,Format,Mode,ResX,ResY,Resolution
am50_5p0_1771c.png,PNG,RGB,2048,2045,4188160
am50_5p0_1772c.png,PNG,RGB,2048,2045,4188160
am50_2p5_1802c.png,PNG,RGB,2048,2045,4188160
am50_2p5_1820c.png,PNG,RGB,2048,2045,4188160
am50_2p5_1816c.png,PNG,RGB,2048,2045,4188160
am50_5p0_1792c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1770c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1796c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1774c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1825c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1824c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1804c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1801c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1775c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1822c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1817c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1799c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1787c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1793c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1800c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1806c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1821c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1818c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1782c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1810c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1830c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1786c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1773c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1791c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1803c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1829c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1823c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1809c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1805c.png,PNG,RGB,2048,2042,4182016
am50_5p0_1779c.png,PNG,RGB,2048,2042,4182016
am50_2p5_1811c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1795c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1798c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1827c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1812c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1780c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1784c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1777c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1769c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1790c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1788c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1819c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1815c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1808c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1797c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1785c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1814c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1826c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1807c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1794c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1789c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1781c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1813c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1783c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1776c.png,PNG,RGB,2048,2041,4179968
am50_2p5_1828c.png,PNG,RGB,2048,2041,4179968
am50_5p0_1778c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1763c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1730c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1750c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1728c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1719c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1751c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1768c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1716c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1698c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1738c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1725c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1737c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1723c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1729c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1767c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1727c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1713c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1696c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1694c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1691c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1693c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1760c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1741c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1765c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1742c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1764c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1740c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1749c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1721c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1761c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1733c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1752c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1757c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1759c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1756c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1746c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1697c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1732c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1754c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1699c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1755c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1712c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1700c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1714c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1724c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1692c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1734c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1726c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1731c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1736c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1753c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1762c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1766c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1695c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1747c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1748c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1745c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1722c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1717c.png,PNG,RGB,2048,2041,4179968
am40_5p0_1720c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1743c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1735c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1744c.png,PNG,RGB,2048,2041,4179968
am40_2p5_1758c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1577c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1572c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1598c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1612c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1605c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1602c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1596c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1568c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1579c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1592c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1601c.png,PNG,RGB,2048,2041,4179968
am70_2p5_f_1617c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1564c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1571c.png,PNG,RGB,2048,2041,4179968
am70_5p0_f_e_1561c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1562c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1616c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1573c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1556c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1619c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1611c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1563c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1557c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1614c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1567c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1603c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1593c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1586c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1600c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1581c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1613c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1588c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1597c.png,PNG,RGB,2048,2044,4186112
